"MLog","EntryDate","RelDate","RelSite","State","County","City","Waterway","Photos","FormComplete","CondStop","BottomFeed","NatVeg","VegType","MonthsVeg","ExpWater","DisplayType","RelType","MonthsExpWater","VetID","Weight","EstW","WDate","Length","EstL","LDate","Comments","Org","Status","CreateBy","CreateDate","UpdateBy","UpdateDate"
1369,2012-05-16 18:26:51.400,2012-04-18 00:00:00.000,Maxwell Boat Ramp,FL,Duval,Jacksonville,St. John's River,1,1,1,,,,,0,,,,rball,395,N,2012-04-10 00:00:00.000,266,N,2012-04-10 00:00:00.000,FWC-SWFS,LPZ,1,vedmonds,2012-05-16 18:26:51.400,vedmonds,2012-05-16 18:27:32.143
1371,2014-01-06 13:30:03.480,2014-01-07 00:00:00.000,Orange River,FL,Lee,Ft. Myers,Caloosahatchee River,1,0,0,1,1,water hyacinth,"02",1,F,F,"11",dmurphy,336,N,2013-12-09 00:00:00.000,249,N,2013-12-09 00:00:00.000,,SFM,1,mmargold,2014-01-06 13:30:03.480,mmargold,2014-01-21 11:48:49.327
1372,2012-04-11 16:30:01.317,2012-04-12 00:00:00.000,E.G. Simmons Park,FL,Hillsborough,Ruskin,Tampa Bay,1,1,1,,,,,0,,,,rball,300,N,2012-04-10 00:00:00.000,254,N,2012-04-10 00:00:00.000,,LPZ,1,vedmonds,2012-04-11 16:30:01.317,vedmonds,2012-05-16 18:19:55.263
1377,2012-05-16 17:42:46.150,2012-05-16 00:00:00.000,Homosassa Springs Wildlife Park,FL,Citrus,Homosassa,Blue Waters,1,1,1,,,,,0,,,,rball,201,N,2012-05-09 00:00:00.000,208,N,2012-05-09 00:00:00.000,,LPZ,1,vedmonds,2012-05-16 17:42:46.150,vedmonds,2012-05-16 17:44:41.233
1384,2012-08-02 11:42:25.427,2012-07-17 00:00:00.000,Plantation Key private boat launch,FL,Monroe,Plantation Key,bayside,1,0,0,,,,,0,,,,mrodriguez,408,N,2012-07-13 00:00:00.000,263,N,2012-06-06 00:00:00.000,,MSQ,1,jlinvill,2012-08-02 11:42:25.427,jlinvill,2012-08-02 11:43:37.020
1385,2012-10-19 15:42:31.453,2012-10-23 00:00:00.000,Goodby's Boat Ramp,FL,Duval,"Jacksonville,Fl",Goodby's Creek,1,0,0,,,,,0,,,,sgearhart,384,Y,2012-10-19 00:00:00.000,276,Y,2012-10-19 00:00:00.000,,SWF,1,slehr,2012-10-19 15:42:31.453,bwagoner,2012-10-24 09:07:16.163
1385,2012-10-19 15:44:02.660,2012-10-23 00:00:00.000,Goodby's Boat Ramp,FL,Duval,"Jacksonville,Fl",Goodby's Creek,1,0,0,,,,,0,,,,sgearhart,384,Y,2012-10-19 00:00:00.000,276,Y,2012-10-19 00:00:00.000,,SWF,1,slehr,2012-10-19 15:44:02.660,bwagoner,2012-10-24 09:07:16.163
1385,2012-10-22 09:12:15.453,2012-10-23 00:00:00.000,Goodby Boat Ramp,FL,Duval,Jacksonville,Goodby's Creek off St. Johns River,1,0,0,1,,,,0,,,,sgearhart,420,N,2012-10-01 00:00:00.000,270,N,2012-10-01 00:00:00.000,"Animal was originally rescued due to cold stress from Goodby's Creek. Animal will be pit tagged day of release and new photos taken, animal is clean, no scars.",SWF,1,bwagoner,2012-10-22 09:12:15.453,bwagoner,2012-10-24 09:07:16.163
1395,2012-07-26 20:11:53.560,2012-07-30 00:00:00.000,Caxambas park and Marina,FL,Collier,Marco Island,Caxambas Bay,1,1,1,,,,,0,,,,rball,467,N,2012-07-26 00:00:00.000,282,N,2012-07-26 00:00:00.000,,LPZ,1,vedmonds,2012-07-26 20:11:53.560,vedmonds,2012-08-02 15:44:58.190
1399,2012-08-02 11:54:10.350,2012-07-17 00:00:00.000,Turkey Creek,FL,Brevard,Palm Bay,Turkey Creek,1,0,0,,,,,0,,,,mrodriguez,521,N,2012-07-13 00:00:00.000,301,N,2012-05-22 00:00:00.000,,MSQ,1,jlinvill,2012-08-02 11:54:10.350,jlinvill,2012-08-02 11:56:22.017
1400,2012-08-02 12:04:13.193,2012-07-17 00:00:00.000,Turkey Creek,FL,Brevard,Palm Bay,Turkey Creek,1,0,0,,,,,0,,,,mrodriguez,124,N,2012-07-13 00:00:00.000,167,N,2012-05-22 00:00:00.000,,MSQ,1,jlinvill,2012-08-02 12:04:13.193,jlinvill,2012-08-02 12:04:45.507
1404,2012-07-30 11:34:03.297,2012-08-02 00:00:00.000,Town and Country Home Park,FL,Brevard,Merritt Island,Sykes Creek,1,0,0,,,,,0,,,,sgearhart,620,N,2012-06-08 00:00:00.000,302,N,2012-06-08 00:00:00.000,"Originally rescued 6/8/12 for entanglement, crab trap rope/monfilament on right pect (amputated) & monfilament on left pect. While in rehab she gave birth to live calf on 7/19/12. Both mom & calf doing well, both will be released together. Mother is known through photo ID, will be pit tagged day of release.",SWF,1,bwagoner,2012-07-30 11:34:03.297,bwagoner,2012-08-05 16:34:18.653
1409,2012-10-09 14:56:58.573,2012-09-25 00:00:00.000,Bert Maxwell Boat Ramp,FL,Duval,Jacksonville,Trout River,1,1,1,1,1,hydrilla,"03",1,F,F,"03",rball,66,N,2012-09-25 00:00:00.000,154,N,2012-09-25 00:00:00.000,"To be released with dam, LPZ102971",LPZ,1,vedmonds,2012-10-09 14:56:58.573,vedmonds,2012-12-13 19:58:06.970
1409,2012-12-13 19:57:23.130,2012-10-16 00:00:00.000,Bert Maxwell Boat Ramp,FL,Duval,Jacksonville,St. John's River,1,1,1,,,,,0,,,,rball,66,N,2012-09-25 00:00:00.000,154,N,2012-09-25 00:00:00.000,"released with dam, LPZ102971",LPZ,1,vedmonds,2012-12-13 19:57:23.130,vedmonds,2012-12-13 19:58:06.970
1410,2013-01-03 19:07:35.610,2012-10-25 00:00:00.000,Buckhead Ridge,FL,Okeechobee,Okeechobee,Kissimmee River,1,1,1,,,,,0,,,,rball,533,N,2012-09-25 00:00:00.000,307,N,2012-09-25 00:00:00.000,,LPZ,1,vedmonds,2013-01-03 19:07:35.610,vedmonds,2013-01-29 16:44:04.920
1411,2012-07-30 11:40:05.990,2012-08-02 00:00:00.000,Town and Country Home Park,FL,Brevard,Merritt Island,Sykes Creek,0,0,0,,,,,0,,,,sgearhart,30,Y,2012-07-19 00:00:00.000,120,Y,2012-07-19 00:00:00.000,"Animal was born 7/19/2012 to rescued animal SWFTm1212B while in rehab for entanglement. Both calf and mom will be released together at Sykes Creek, calf will not be pit tagged.",SWF,1,bwagoner,2012-07-30 11:40:05.990,bwagoner,2012-08-05 16:30:19.327
1412,2015-03-06 09:14:32.757,2015-03-03 00:00:00.000,Calusa Campgrounds,FL,Monroe,Key Largo,Calusa campground canal,0,0,0,1,1,seagrass,"02",1,B,B,"03",mrodriguez,333,N,2015-03-03 00:00:00.000,237,N,2015-01-15 00:00:00.000,,MSQ,1,jlinvill,2015-03-06 09:14:32.757,jlinvill,2015-03-06 09:21:20.217
1413,2012-09-20 12:00:29.153,2012-09-13 00:00:00.000,Ken Thompson Park,FL,Sarasota,Sarasota,Sarasota Bay,1,1,1,,,,,0,,,,rball,615,N,2012-08-16 00:00:00.000,318,N,2012-08-16 00:00:00.000,,LPZ,1,vedmonds,2012-09-20 12:00:29.153,vedmonds,2012-09-20 12:06:10.600
1414,2012-09-20 12:04:52.813,2012-09-13 00:00:00.000,Ken Thompson Park,FL,Sarasota,Sarasota,Sarasota Bay,1,1,1,,,,,0,,,,rball,191,N,2012-08-16 00:00:00.000,210,N,2012-08-16 00:00:00.000,released with dam LPZ103021,LPZ,1,vedmonds,2012-09-20 12:04:52.813,vedmonds,2012-09-20 12:07:14.337
1419,2013-07-21 13:32:07.867,2013-07-23 00:00:00.000,KARS Park,FL,Brevard,Merritt Island,Banana River,1,1,0,1,,,,0,,,,lcroft,400,N,2013-06-26 00:00:00.000,268,N,2013-06-26 00:00:00.000,Animal was originally rescued back on 8/28/12 from the South Cocoa Beach area (Banana River) due to watercraft injuries.,SWF,1,bwagoner,2013-07-21 13:32:07.867,slehr,2013-08-30 12:33:04.013
1433,2014-03-08 16:49:11.960,2014-02-27 00:00:00.000,Calusa Campground,FL,Monroe,Key Largo,Calusa campground canal,1,0,0,1,1,seagrass,"01",1,B,B,>12,mrodriguez,281,N,2014-02-27 00:00:00.000,229,N,2014-01-29 00:00:00.000,,MSQ,1,jlinvill,2014-03-08 16:49:11.960,jlinvill,2014-03-08 16:50:18.997
1437,2013-06-11 14:05:41.310,2013-06-13 00:00:00.000,The Inlets on Gaspaerilla Island,FL,Lee,Boca Grande,Charlotte Harbor,1,0,0,,,,,0,,,,sgearhart,566,N,2013-05-21 00:00:00.000,304,N,2013-05-21 00:00:00.000,Originally rescued on 10/26/2012 due to red tide from Lee County and transported to LPZ but later transferred to SWF due to space issues at LPZ.,SWF,1,bwagoner,2013-06-11 14:05:41.310,bwagoner,2013-06-14 04:55:10.227
1438,2013-03-18 15:03:52.650,2013-02-27 00:00:00.000,Three Sisters Spring,FL,Citrus,Crystal River,Three Sisters Spring,1,1,1,,,,,0,,,,rball,195,N,2013-02-22 00:00:00.000,202,N,2013-02-22 00:00:00.000,Manatee had been rescued for entanglement just outside of the Gator's Hole Spring                                                                                                                                     ,LPZ,1,vedmonds,2013-03-18 15:03:52.650,vedmonds,2013-03-18 15:04:43.870
1439,2013-07-28 10:11:03.890,2013-06-19 00:00:00.000,Port of the Islands,FL,Collier,Naples,Port of the Islands,1,0,0,,,,,0,,,,rball,309,N,2013-06-12 00:00:00.000,269,N,2013-06-12 00:00:00.000,,HSSWP,1,slowe,2013-07-28 10:11:03.890,slowe,2013-07-28 10:11:42.223
1440,2014-01-30 11:45:51.637,2014-01-15 00:00:00.000,Tampa Elestric Power Plant,FL,Hillsborough,Tampa,Tampa Bay,1,1,1,1,1,hydrilla,>12,1,F,F,>12,rball,329,N,2013-12-19 00:00:00.000,229,N,2013-12-19 00:00:00.000,released in TECO power plant with permission from FWS,LPZ,1,vedmonds,2014-01-30 11:45:51.637,vedmonds,2014-01-30 11:52:59.833
1442,2013-07-15 12:53:44.213,2013-07-18 00:00:00.000,Eddy Creek,FL,Brevard,Titusville,Mosquito Lagoon,1,1,0,,,,,0,,,,sgearhart,261,N,2013-05-21 00:00:00.000,230,N,2013-06-20 00:00:00.000,This animal was originally rescued due to entrapment from the T24D mosquito impoundment area in MINWR. Animal will be released along with 3 other animals at this location.,SWF,1,bwagoner,2013-07-15 12:53:44.213,bwagoner,2013-07-21 07:58:53.833
1443,2013-07-15 12:58:00.033,2013-07-18 00:00:00.000,Eddy Creek,FL,Brevard,Titusville,Mosquito Lagoon,1,1,0,,,,,0,,,,sgearhart,291,N,2013-06-26 00:00:00.000,232,N,2013-06-26 00:00:00.000,This animal was originally rescued on 12/18/12 due to entrapment from the T24D mosquito impoundment area in MINWR. Animal will be released along with 3 other animals at this location.,SWF,1,bwagoner,2013-07-15 12:58:00.033,bwagoner,2013-07-21 08:00:32.580
1445,2013-07-15 13:03:40.987,2013-07-18 00:00:00.000,Eddy Creek,FL,Brevard,Titusville,Mosquito Lagoon,1,1,0,,,,,0,,,,sgearhart,352,N,2013-06-26 00:00:00.000,254,N,2013-06-26 00:00:00.000,This animal was originally rescued on 12/20/12 due to entrapment at the T24D mosquito impoundment area in MINWR. Animal will be released along with 3 other animals at this location.,SWF,1,bwagoner,2013-07-15 13:03:40.987,bwagoner,2013-07-21 08:02:00.207
1446,2014-01-30 11:59:06.917,2014-01-15 00:00:00.000,Tampa Electric Power Plant,FL,Hillsborough,Tampa,Tampa Bay,1,1,1,1,1,hydrilla/hyacinth,"11",1,F,F,"11",rball,319,N,2014-12-19 00:00:00.000,258,N,2014-12-19 00:00:00.000,released at TECO with approval by FWS,LPZ,1,vedmonds,2014-01-30 11:59:06.917,vedmonds,2014-01-30 11:59:44.773
1447,2013-07-02 14:09:22.200,2013-07-09 00:00:00.000,Horton Park Boat Ramp,FL,Lee,Cape Coral,Caloosahatchee River,1,1,1,,,,,0,,,,rball,304,N,2013-06-04 00:00:00.000,237,N,2013-06-04 00:00:00.000,,LPZ,1,vedmonds,2013-07-02 14:09:22.200,vedmonds,2013-07-14 14:51:58.957
1448,2013-07-11 05:05:37.577,2013-07-11 00:00:00.000,Estero Bay,FL,Lee,Bonita Springs,Estero Bay,1,1,0,,,,,0,,,,lcroft,270,N,2013-06-20 00:00:00.000,224,N,2013-06-20 00:00:00.000,,SWF,1,slehr,2013-07-11 05:05:37.577,slehr,2013-07-11 05:08:12.637
1451,2014-01-21 10:50:42.583,2014-01-23 00:00:00.000,Indian River Northof FPL outflow,FL,Brevard,Merritt Island,Indian River,1,1,0,1,,,,0,,,,sgearhart,325,N,2013-12-10 00:00:00.000,200,N,2013-12-10 00:00:00.000,"Animal will be tagged and tracked by Sea2Shore, he will be loaded onto SWF rescue boat and then driven a short distance over near the FPL outflow and released.",SWF,1,bwagoner,2014-01-21 10:50:42.583,bwagoner,2014-02-28 13:25:33.460
1456,2014-01-29 12:46:22.667,2014-01-29 00:00:00.000,Blue Springs State Park,FL,Volusia,Orange City,St. Johns River,1,0,0,1,,,,1,,,,lcroft,330,N,2014-01-29 00:00:00.000,236,N,2013-12-10 00:00:00.000,Animal was due to get released the week of Feb 3rd but due to weather changes the decision was made to go out on Jan 29th. Animal was not belted/tagged.,SWF,1,bwagoner,2014-01-29 12:46:22.667,bwagoner,2014-01-29 13:15:03.813
1469,2013-07-15 13:25:23.220,2013-07-18 00:00:00.000,Eddy Creek,FL,Brevard,Titusville,Mosquito Lagoon,1,1,0,,,,,0,,,,sgearhart,182,N,2013-06-26 00:00:00.000,216,N,2013-06-26 00:00:00.000,"This animal was originally rescued on 3/8/2013 due to buoyancy issues, floating very high but no visual signs of skeg or prop marks.  Don’t know why she was floating so high but she resolved these issues on her own. Animal will be released with 3 other animals at the same location.",SWF,1,bwagoner,2013-07-15 13:25:23.220,bwagoner,2013-07-21 08:03:01.323
1472,2013-07-02 14:12:34.740,2013-07-09 00:00:00.000,Horton Park Boat Ramp,FL,Lee,Cape Coral,Caloosahatchee River,1,1,1,,,,,0,,,,rball,401,N,2013-05-30 00:00:00.000,288,N,2013-05-30 00:00:00.000,,LPZ,1,vedmonds,2013-07-02 14:12:34.740,vedmonds,2013-07-14 14:47:39.310
1473,2013-07-28 11:39:54.783,2013-07-09 00:00:00.000,Horton Park Boat Ramp,FL,Lee,Cape Coral,Caloosahatchee River,1,0,0,,,,,0,,,,rball,218,N,2013-06-12 00:00:00.000,214,N,2013-06-12 00:00:00.000,,HSSWP,1,slowe,2013-07-28 11:39:54.783,slowe,2013-07-28 11:41:11.100
1474,2013-07-28 11:46:30.700,2013-07-09 00:00:00.000,Horton Park Boat Ramp,FL,Lee,Cape Coral,Caloosahatchee River,1,0,0,,,,,0,,,,rball,398,N,2013-06-12 00:00:00.000,280,N,2013-06-12 00:00:00.000,,HSSWP,1,slowe,2013-07-28 11:46:30.700,slowe,2013-07-28 11:48:23.633
1475,2013-07-02 14:15:08.350,2013-07-16 00:00:00.000,"3105 Stringfellow Road",FL,Lee,St. James City,Caloosahatchee,1,1,1,,,,,0,,,,rball,249,N,2013-05-30 00:00:00.000,232,N,2013-05-30 00:00:00.000,,LPZ,1,vedmonds,2013-07-02 14:15:08.350,vedmonds,2013-07-24 10:27:54.100
1476,2013-07-02 14:25:35.383,2013-07-11 00:00:00.000,Melody Lane Boat Ramp ,FL,Lee,Bonita Springs,Estero Bay,0,1,1,,,,,0,,,,rball,286,N,2013-06-04 00:00:00.000,249,N,2013-06-04 00:00:00.000,,LPZ,1,vedmonds,2013-07-02 14:25:35.383,vedmonds,2013-07-14 14:52:45.930
1477,2013-07-28 12:05:22.410,2013-07-16 00:00:00.000,MatlachaPark Boat Ramp,FL,Lee,Matlacha ,Matlacha Pass,1,0,0,,,,,0,,,,rball,413,N,2013-07-16 00:00:00.000,288,N,2013-06-12 00:00:00.000,,HSSWP,1,slowe,2013-07-28 12:05:22.410,slowe,2013-07-28 12:05:56.197
1478,2013-07-02 14:27:55.887,2013-07-09 00:00:00.000,Horton Park Boat Ramp,FL,Lee,Cape Coral,Caloosahatchee River,1,1,1,,,,,0,,,,rball,254,N,2013-07-13 00:00:00.000,234,N,2013-07-02 00:00:00.000,,LPZ,1,vedmonds,2013-07-02 14:27:55.887,vedmonds,2013-07-14 14:51:15.277
1479,2013-07-02 14:31:52.187,2013-07-09 00:00:00.000,Horton Park Boat Ramp,FL,Lee,Cape Coral ,Caloosahatchee River,1,1,1,,,,,0,,,,rball,381,N,2013-06-11 00:00:00.000,256,N,2013-06-11 00:00:00.000,,LPZ,1,vedmonds,2013-07-02 14:31:52.187,vedmonds,2013-07-14 14:53:14.907
1480,2013-07-02 14:37:11.790,2013-07-09 00:00:00.000,Horton Park Boat Ramp,FL,Lee,Cape Coral ,Caloosahatchee River,1,1,1,,,,,0,,,,rball,469,N,2013-06-11 00:00:00.000,273,N,2013-06-11 00:00:00.000,,LPZ,1,vedmonds,2013-07-02 14:37:11.790,vedmonds,2013-07-14 14:54:35.660
1481,2016-01-20 11:42:37.980,2016-01-19 00:00:00.000,Merritt Island,FL,Brevard,Port St. John,Indian river,0,0,0,1,1,seagrass,"02",0,B,B,"03",mrodriguez,290,N,2016-01-19 00:00:00.000,236,N,2016-01-15 00:00:00.000,,MSQ,1,jlinvill,2016-01-20 11:42:37.980,jlinvill,2016-01-20 11:44:57.567
1482,2013-07-02 14:44:35.137,2013-06-13 00:00:00.000,"1252 12th St. East ",FL,Charlotte,Boca Grande,Gasparilla Sound,1,1,1,,,,,0,,,,rball,311,N,2013-06-04 00:00:00.000,253,N,2013-06-04 00:00:00.000,,LPZ,1,vedmonds,2013-07-02 14:44:35.137,vedmonds,2013-07-02 14:45:09.797
1485,2013-12-02 12:14:57.137,2013-12-03 00:00:00.000,Claude Edge Front St. Park,FL,Brevard,Melbourne,Indian River,1,0,1,1,,,,0,,,,lcroft,389,N,2013-11-27 00:00:00.000,264,N,2013-11-27 00:00:00.000,"Vesuvia will be released at the SW corner of the 192 Causeway in Melbourne, FL at Front St. Park, animal will not be tagged.",SWF,1,bwagoner,2013-12-02 12:14:57.137,bwagoner,2013-12-03 11:53:16.497
1490,2016-01-10 06:11:45.310,2016-01-13 00:00:00.000,Port St John power plant,FL,Brevard,Port St John,Indian River Intercoastal,1,1,1,1,1,Salt water sea grasses,"03",1,F,B,"00",lcroft,294,N,2016-01-09 00:00:00.000,235,N,2016-01-09 00:00:00.000,Manatee to be belted and tracked by S2S,SWF,1,rrunnells,2016-01-10 06:11:45.310,rrunnells,2016-01-14 08:12:29.500
1491,2013-07-02 14:47:12.250,2013-07-17 00:00:00.000,South Seas Resort,FL,Lee,Captiva,Pine Island Sound,1,1,1,,,,,0,,,,rball,336,N,2013-05-30 00:00:00.000,269,N,2013-05-30 00:00:00.000,,LPZ,1,vedmonds,2013-07-02 14:47:12.250,vedmonds,2013-07-24 10:30:35.770
1492,2013-07-02 14:49:23.637,2013-07-16 00:00:00.000,Jug Creek Boat Ramp,FL,Lee,Bokeelia,Jug Creek,1,1,1,,,,,0,,,,rball,479,N,2013-06-11 00:00:00.000,279,N,2013-06-11 00:00:00.000,,LPZ,1,vedmonds,2013-07-02 14:49:23.637,vedmonds,2013-07-24 10:28:31.290
1494,2013-12-04 08:48:10.317,2013-12-05 00:00:00.000,Parrish Park,FL,Brevard,Titusville,Indian River,1,0,0,1,,,,0,,,,sgearhart,291,N,2013-11-27 00:00:00.000,232,N,2013-11-27 00:00:00.000,Animal will be tagged by Margie Barlas from FWC for a study they will be conducting in the surrounding area. Ann Spellman from FWC will also be on site to take measurements and scar photos.,SWF,1,bwagoner,2013-12-04 08:48:10.317,bwagoner,2013-12-05 11:04:15.680
1495,2013-09-12 09:21:50.210,2013-09-18 00:00:00.000,Harney Pond boat ramp,FL,Glades,Okeechobee,Harney Pond Canal,0,0,0,,,,,0,,,,mrodriguez,181,Y,2013-09-10 00:00:00.000,229,N,2013-07-31 00:00:00.000,,MSQ,1,jlinvill,2013-09-12 09:21:50.210,jlinvill,2013-09-19 10:45:51.030
1497,2016-02-25 12:02:44.223,2016-02-25 00:00:00.000,Port St John power plant,FL,Brevard,Port St John,Banana river,1,1,1,1,1,Salt and fresh,"03",0,F,B,"00",sgearhart,297,N,2015-12-23 00:00:00.000,230,N,2015-12-23 00:00:00.000,Transport from boat ramp to the power plant outflow,SWF,1,rrunnells,2016-02-25 12:02:44.223,rrunnells,2016-02-27 11:49:47.960
1499,2013-09-25 11:24:30.740,2013-10-03 00:00:00.000,Caxambas Park,FL,Collier,Marco Island,Caxambas Pass,1,1,1,,,,,0,,,,rball,318,N,2013-09-05 00:00:00.000,258,N,2013-09-05 00:00:00.000,,LPZ,1,vedmonds,2013-09-25 11:24:30.740,vedmonds,2013-10-23 14:03:43.833
1499,2013-10-23 14:01:45.433,2013-10-02 00:00:00.000,Caxambas Park Boat Ramp,FL,Collier,Marco Island,Caxambas Pass,1,1,1,,,,,0,,,,rball,318,N,2013-10-05 00:00:00.000,258,N,2013-10-05 00:00:00.000,,LPZ,1,vedmonds,2013-10-23 14:01:45.433,vedmonds,2013-10-23 14:03:43.833
1504,2013-10-20 14:58:51.800,2013-10-16 00:00:00.000,The Inlets,FL,Lee,Boca Grande,Gasparilla Sound,1,1,1,,,,,0,,,,rball,174,N,2013-10-09 00:00:00.000,200,N,2013-10-19 00:00:00.000,,LPZ,1,vedmonds,2013-10-20 14:58:51.800,vedmonds,2013-10-20 15:02:06.870
1513,2014-03-18 09:47:19.470,2014-03-20 00:00:00.000,Shell Island Road,FL,Lee,Naples,Henderson Creek,1,1,1,,,,,0,,,,rball,404,N,2014-03-13 00:00:00.000,278,N,2014-03-13 00:00:00.000,,LPZ,1,vedmonds,2014-03-18 09:47:19.470,vedmonds,2014-03-25 09:02:48.117
1513,2014-03-25 08:59:38.153,2014-03-20 00:00:00.000,Shell Island Road,FL,Collier,Naples,Henderson Creek,1,1,1,,,,,0,,,,rball,404,N,2014-03-13 00:00:00.000,278,N,2014-03-13 00:00:00.000,,LPZ,1,vedmonds,2014-03-25 08:59:38.153,vedmonds,2014-03-25 09:02:48.117
1514,2014-05-04 13:46:12.007,2014-05-06 00:00:00.000,Tomoka State Park,FL,Volusia,Ormond Beach,Tomoka River,1,0,0,1,,,,0,,,,sgearhart,375,N,2014-04-15 00:00:00.000,268,N,2014-02-05 00:00:00.000,"Trooper has been medically cleared for release, originally rescued from the Tomoka River, animal will not be belted/tag. Pit tags will be placed on day of release and FWC (Northeast Field Lab) will be on site at release location to take current measurements and photos",SWF,1,bwagoner,2014-05-04 13:46:12.007,bwagoner,2014-05-06 15:10:19.200
1514,2016-09-01 12:52:59.473,2016-09-08 00:00:00.000,Edgewater landing boat ramp,FL,Brevard,Edgewater,Indian river,1,1,1,,,,,0,,,,lcroft,383,N,2016-08-22 00:00:00.000,261,N,2016-08-22 00:00:00.000,Second release the manatee originally SWF Tm 1315B re-rescued SWF Tm 1605B,SWF,1,rrunnells,2016-09-01 12:52:59.473,rrunnells,2016-09-09 09:27:25.733
1515,2016-02-08 15:40:28.637,2016-02-10 00:00:00.000," Near FPL Plant, Port St John",FL,Brevard,Port St John,Indian River,1,1,0,1,1,Saltwater and freshwater vegetation,"03",0,F,B,,lcroft,266,N,2015-12-23 00:00:00.000,225,N,2015-12-23 00:00:00.000,"Animal will be released by boat out near the FPL outflow, he will be tagged and tracked by S2S. Final measurements and photos will be taken at release site by FWC. Animal has V4 FB in 2 sites (between Rt. & Lt. shoulders and peduncle) ",SWF,1,bwagoner,2016-02-08 15:40:28.637,bwagoner,2016-02-18 11:48:26.690
1517,2014-02-14 08:13:52.523,2013-10-29 00:00:00.000,Bradenton,FL,Manatee,Bradenton,Cortez Cove,1,1,1,,,,,0,,,,rball,454,N,2013-10-29 00:00:00.000,292,N,2013-10-29 00:00:00.000,,LPZ,1,vedmonds,2014-02-14 08:13:52.523,vedmonds,2014-02-14 08:14:24.317
1519,2014-05-04 13:57:39.460,2014-05-08 00:00:00.000,Palm Valley Boat Ramp,FL,St. Johns,Ponte Vedra Beach,ICW,1,0,0,1,,,,0,,,,sgearhart,489,N,2014-04-15 00:00:00.000,303,N,2014-02-05 00:00:00.000,"Anawan has been medically cleared for release, originally rescued from the ICW in Ponte Vedra Beach due to watercraft. He will not be belted/tag; he presently has one pit tag (0006001198) in his right shoulder due to a tidal stranding back in 2002 but only received one pit tag. SWF will place a second pit tag in his left shoulder area the day of release. FWC will be on site for the release to take current measurements and photos.",SWF,1,bwagoner,2014-05-04 13:57:39.460,bwagoner,2014-05-25 10:06:35.560
1520,2016-02-08 14:02:06.900,2016-02-10 00:00:00.000,"Near FPL Plant, Port St John",FL,Brevard,Port St John,Indian River,1,1,0,1,1,Saltwater and freshwater vegetation,"03",0,F,B,"03",lcroft,284,N,2015-12-23 00:00:00.000,235,N,2015-12-23 00:00:00.000,"Animal will released by boat out near FPL outflow, he will be tagged and tracked by S2S. Final measurements and photos will be taken at release site by FWC. Animal has V1 FB in 2 sites (between Rt. & Lt. shoulders & peduncle)",SWF,1,bwagoner,2016-02-08 14:02:06.900,bwagoner,2016-02-18 11:49:54.167
1521,2015-01-18 09:19:15.753,2015-01-20 00:00:00.000,Blue Springs State Park,FL,Volusia,Orange City,St. Johns River,1,0,0,1,,,,1,F,F,,lcroft,325,N,2014-12-09 00:00:00.000,230,N,2014-12-09 00:00:00.000,"Originally rescued back on 11/6/2013 due to cold stress from Green Cove Springs near Jacksonville, FL. At time of rescue he was TL 203cm and Wt.345 lbs. Since he was still considered to be a dependent animal when he came in the decision made by the MRP was to tag him for a possible short duration to see where he might travel to. He has had a practice tag on for the last 5-6 weeks while in rehab. Sea2Shore will be tagging him with an active tag the day of release.",SWF,1,bwagoner,2015-01-18 09:19:15.753,bwagoner,2015-02-01 06:28:07.210
1522,2014-02-09 14:14:05.600,2014-02-10 00:00:00.000,Blue Springs State Park,FL,Volusia,Orange City,St. Johns River,1,1,0,1,,,,0,,,,lcroft,202,N,2014-02-05 00:00:00.000,219,N,2013-12-18 00:00:00.000,"Animal originally rescue due to cold stress from JEA District II boil in Jacksonville, FL. Was going to get released in Brevard County but due to current UME activity, the decision was made to release her at BSSP",SWF,1,bwagoner,2014-02-09 14:14:05.600,bwagoner,2014-02-11 09:43:04.740
1523,2014-02-09 14:23:37.380,2014-02-10 00:00:00.000,Blue Springs State Park,FL,Volusia,Orange City,St Johns River,1,1,0,1,,,,0,,,,lcroft,352,N,2014-02-05 00:00:00.000,265,N,2014-02-05 00:00:00.000,"Animal originally rescue from JEA District II boil in Jacksonville, FL. He was not the original target animal for rescue but was an incidental catch but he did have some minor cold stress, it was decided to bring him in. He was going to get released in Brevard County but due to current UME activity, the decision was made to release her at BSSP.",SWF,1,bwagoner,2014-02-09 14:23:37.380,bwagoner,2014-02-11 09:46:08.647
1524,2014-02-09 14:29:14.807,2014-02-10 00:00:00.000,Blue Springs State Park,FL,Volusia,Orange City,St. Johns River,1,1,0,1,,,,0,,,,lcroft,295,N,2014-02-05 00:00:00.000,243,N,2014-02-05 00:00:00.000,"
Animal originally rescue due to cold stress from JEA District II boil in Jacksonville, FL. He was the second target animal and was rescued by FWC (Jacksonville) and then transported by SWF to rehab. He was going to get released in Brevard County but due to current UME activity, the decision was made to release her at BSSP.
",SWF,1,bwagoner,2014-02-09 14:29:14.807,bwagoner,2014-02-11 09:49:29.890
1552,2016-01-31 14:24:53.053,2016-01-26 00:00:00.000,Tampa Electric Power Plant,FL,Hillsborough,Apollo Beach,Tampa Bay,1,1,1,1,1,hydrilla,>12,0,F,B,,rball,336,N,2015-12-04 00:00:00.000,245,N,2015-12-04 00:00:00.000,,LPZ,1,vedmonds,2016-01-31 14:24:53.053,vedmonds,2016-01-31 14:26:15.357
