"MLog","RescueDate","RescuePerDay","State","County","City","Waterway","Latitude","Longitude","Pregnant","Health","RescueType","PrimCauseID","PrimText","SecCauseID","SecText","WhereRel","Dead","Tracker","Transporter","FacTransTo","VetID","PartOrg","FloodGate","Pot","Weight","EstW","WDate","Length","EstL","LDate","Comments","Org","CreateBy","CreateDate","UpdateBy","UpdateDate"
498,2003-12-05 00:00:00.000,1,FL,Duval,Jacksonville,Ortega River,30.250770,-81.713480,U,G,A,NaCs,,,,"Blue Spring State Park, Orange City",0,,,,,"FWC, SWF, USFWS",,U,0,U,2003-12-05 00:00:00.000,248,N,2003-12-05 00:00:00.000,Animal relocated to Blue Spring. Jacksonville,FWCNE,jsmith,2003-12-01 00:00:00.000,nadimey,2009-08-19 10:41:04.423
499,2000-02-16 00:00:00.000,1,FL,Indian River,Vero Beach,Vero Beach,27.641670,-80.406110,U,U,B,NaCs,,,,,0,,SWF,SWF,dbuesse,,,U,150,N,2000-02-16 00:00:00.000,195,N,2000-02-16 00:00:00.000,,Unk,rrunnells,2000-02-23 00:00:00.000,D,2009-07-09 13:59:06.753
500,2000-03-18 00:00:00.000,1,FL,Indian River,Vero Beach,Bentel Creekoff ICW,27.669450,-80.361950,U,U,B,BoIm,,,,,0,,FWC,SWF,dbuesse,,,U,502,N,2000-03-18 00:00:00.000,285,N,2000-03-18 00:00:00.000,,Unk,aspellman,2000-03-26 00:00:00.000,D,2009-07-09 13:59:06.753
501,2000-03-18 00:00:00.000,1,FL,Indian River,Vero Beach,Bentel Creek,27.669450,-80.361950,U,U,B,Calf,,,,,0,,SWF,SWF,dbuesse,,,U,113,N,2000-03-18 00:00:00.000,174,N,2000-03-18 00:00:00.000,,Unk,aspellman,2000-03-26 00:00:00.000,D,2009-07-09 13:59:06.753
502,2000-04-11 00:00:00.000,1,FL,Brevard,Titusville,Kennedy Point,28.566940,-80.797000,U,U,B,BoPr,,,,,1,,SWF,FWC,dbuesse,,,U,460,Y,2000-04-11 00:00:00.000,281,N,2000-04-11 00:00:00.000,,Unk,bwagoner,2000-04-20 00:00:00.000,D,2009-07-09 13:59:06.753
503,2000-05-04 00:00:00.000,1,FL,St. Lucie,Ft Pierce,Indian River,27.494170,-79.312230,U,U,B,BoIm,,,,,0,,SWF,SWF,dbuesse,,,U,381,N,2000-05-04 00:00:00.000,267,N,2000-05-04 00:00:00.000,,Unk,rrunnells,2000-05-06 00:00:00.000,D,2009-07-09 13:59:06.753
503,2023-04-24 00:00:00.000,1,FL,Monroe,Key Largo,Atlantic Ocean,25.045850,-80.487870,M,U,I,Inc ,,,,,0,,,,,"DRC, DPMMR, FWC",,,,,,330,Y,2023-04-24 00:00:00.000,Incidental to RSE2307. Not scanned for PIT tags. Freezebrand was visible. Photo ID staff confirmed identity of animal.,FWCT,ahowell,2024-06-19 08:30:08.767,D,2024-06-19 08:30:08.297
504,2000-08-24 00:00:00.000,1,FL,Brevard,Cocoa,Canal off Banana River,28.328330,-80.611660,U,U,B,Enta,,,,,0,,FWC,SWF,dbuesse,,,U,204,N,2000-08-24 00:00:00.000,228,N,2000-08-24 00:00:00.000,,Unk,bwagoner,2000-09-05 00:00:00.000,D,2009-07-09 13:59:06.753
505,2000-11-18 00:00:00.000,1,FL,Volusia,Ponce Inlet,Halifax River,29.077500,-80.928340,U,U,B,BoIm,,,,,0,,SWF,SWF,dbuesse,,,U,370,N,2000-11-18 00:00:00.000,266,N,2000-11-18 00:00:00.000,,Unk,jpearson,2000-11-22 00:00:00.000,D,2009-07-09 13:59:06.753
506,2000-12-16 00:00:00.000,1,FL,Martin,Stuart,St. Lucie Lock,27.111110,-80.287220,U,U,B,BoPr,,,,,0,,,SWF,dbuesse,,,U,190,U,2000-12-16 00:00:00.000,221,Y,2000-12-16 00:00:00.000,,Unk,rrunnells,2000-12-20 00:00:00.000,D,2009-07-09 13:59:06.753
507,1986-10-19 00:00:00.000,1,UU,Unknown,Unknown,Unknown,89.999900,-179.999900,U,U,B,Unk ,,,,,0,,,SWF,unk,,,U,0,U,1986-10-19 00:00:00.000,0,U,1986-10-19 00:00:00.000,,Unk,unk,1986-10-19 00:00:00.000,D,2009-07-09 13:59:06.753
508,1992-08-15 00:00:00.000,1,FL,Brevard,Cocoa beach,Banana River,28.208330,-80.616670,U,U,A,Enta,,,,,0,,,Unk,mwalsh,,,U,0,U,1992-08-15 00:00:00.000,234,N,1992-08-15 00:00:00.000,,Unk,bwagoner,1992-08-17 00:00:00.000,D,2009-07-09 13:59:06.753
509,1993-05-18 00:00:00.000,1,FL,Brevard,Cocoa Beach,Banana River,28.352500,-80.724170,U,U,A,Enta,,,,,0,,,Unk,tcampbell,,,U,700,N,1993-05-18 00:00:00.000,281,N,1993-05-18 00:00:00.000,,Unk,rrunnells,1993-05-19 00:00:00.000,D,2009-07-09 13:59:06.753
510,1993-05-18 00:00:00.000,1,FL,Brevard,Cocoa beach,Banana River,28.352500,-80.724170,U,U,A,Calf,,,,,0,,,Unk,mwalsh,,,U,30,N,1993-05-18 00:00:00.000,120,U,1993-05-18 00:00:00.000,,Unk,bwagoner,1993-05-17 00:00:00.000,D,2009-07-09 13:59:06.753
511,1994-02-08 00:00:00.000,1,FL,Indian River,Vero,Indian River,24.565000,-80.329440,U,U,A,TrOt,,,,,0,,,,,,,U,114,U,1994-02-08 00:00:00.000,167,U,1994-02-08 00:00:00.000,,SWF,bwagoner,1994-02-09 00:00:00.000,nadimey,2009-08-19 12:40:55.280
512,1995-05-29 00:00:00.000,1,FL,Brevard,Cocoa,Canal in Cocoa Beach,28.356670,-80.721660,U,U,A,Enta,,,,,0,,,Unk,mwalsh,,,U,0,U,1995-05-29 00:00:00.000,329,N,1995-05-29 00:00:00.000,,Unk,aspellman,1995-05-30 00:00:00.000,D,2009-07-09 13:59:06.753
513,1996-01-18 00:00:00.000,1,FL,Volusia,Orange City,Blue Springs State Park,28.943060,-81.341670,U,U,I,Calf,,,,,0,,,,,,,U,159,U,1996-01-18 00:00:00.000,196,N,1996-01-18 00:00:00.000,,SWF,bwagoner,1996-02-08 00:00:00.000,dszemer,2011-06-07 10:45:16.217
513,1996-02-07 00:00:00.000,1,FL,Volusia,Unknown,Blue Springs State Park,28.933330,-81.333340,U,U,I,Calf,,,,,0,,,,,,,U,159,N,1996-02-07 00:00:00.000,196,N,1996-02-07 00:00:00.000,,SWF,bwagoner,1996-02-08 00:00:00.000,dszemer,2009-10-27 12:48:43.290
514,1996-02-14 00:00:00.000,1,FL,Martin,Jupinter,"Jupiter Inlet, Gulf Stream",27.242640,-80.096340,U,U,B,NaUn,,,,,1,,SWF,SWF,dbuesse,,,U,364,U,1996-02-14 00:00:00.000,297,N,1996-02-14 00:00:00.000,,Unk,bwagoner,1996-02-14 00:00:00.000,D,2009-07-09 13:59:06.753
515,1996-10-22 00:00:00.000,1,FL,Brevard,Melbourne,"ICW Marina, Eau Gallie River",28.122560,-80.625510,U,U,B,BoPr,,,,,1,,DEP,SWF,dbuesse,,,U,1000,N,1996-10-22 00:00:00.000,363,N,1996-10-22 00:00:00.000,,Unk,bwagoner,1996-11-04 00:00:00.000,D,2009-07-09 13:59:06.753
516,1996-10-29 00:00:00.000,1,FL,Miami/Dade,Unknown,"S. Biscayne Bay, Flood control street, 520 F Convo",25.474450,-80.340280,U,U,I,Inc ,,,,,0,,,Unk,dbuesse,,,U,0,U,1996-10-29 00:00:00.000,310,N,1996-10-29 00:00:00.000,,Unk,bwagoner,1996-11-07 00:00:00.000,D,2009-07-09 13:59:06.753
517,1997-05-18 00:00:00.000,1,FL,Brevard,Harbortown,Harbortown Marina,28.407780,-80.678050,U,U,A,Enta,,,,,0,,,Unk,dbuesse,,,U,104,Y,1997-05-18 00:00:00.000,189,N,1997-05-18 00:00:00.000,,Unk,bwagoner,1997-05-21 00:00:00.000,D,2009-07-09 13:59:06.753
518,1997-12-15 00:00:00.000,1,FL,St. Lucie,Stuart,St Lucie Power Plant intake canal,27.360560,-80.238330,U,U,A,TrPo,,,,,0,,,,,,,U,227,Y,1997-12-15 00:00:00.000,240,N,1997-12-15 00:00:00.000,,SWF,bwagoner,1997-12-16 00:00:00.000,nadimey,2009-08-19 12:42:29.890
519,1998-01-23 00:00:00.000,1,FL,Volusia,Orange City,Blue Springs,28.943060,-81.341580,U,U,B,NaDp,,NaCs,,,0,,SWF,SWF,dbuesse,,,U,140,N,1998-01-23 00:00:00.000,207,N,1998-01-23 00:00:00.000,,Unk,rrunnells,1998-01-24 00:00:00.000,D,2009-07-09 13:59:06.753
520,1998-07-08 00:00:00.000,1,FL,Palm Beach,Belle Glade,"US Sugar irrigation canal, SE corner of Lake Okeec",26.756940,-80.485830,U,U,A,TrWC,,,,,0,,SWF,Unk,dbuesse,,,U,0,U,1998-07-08 00:00:00.000,274,N,1998-07-08 00:00:00.000,,Unk,bwagoner,1998-08-01 00:00:00.000,D,2009-07-09 13:59:06.753
521,1998-07-31 00:00:00.000,1,FL,Brevard,Titusville,Indian River,28.625000,-80.812500,U,U,A,Enta,,,,,0,,,Unk,dbuesse,,,U,0,U,1998-07-31 00:00:00.000,230,N,1998-07-31 00:00:00.000,,Unk,rrunnells,1998-08-01 00:00:00.000,D,2009-07-09 13:59:06.753
522,1998-12-07 00:00:00.000,1,FL,Brevard,Palm Bay,Turkey Creek,28.035000,-80.578330,U,U,A,Enta,,,,,0,,,Unk,dbuesse,,,U,0,U,1998-12-07 00:00:00.000,218,N,1998-12-07 00:00:00.000,,Unk,bwagoner,1998-12-09 00:00:00.000,D,2009-07-09 13:59:06.753
523,1999-05-06 00:00:00.000,1,FL,Brevard,Indain Harbor,Indian Harbor Beach,28.147730,-80.601120,U,U,B,NaUn,,,,,1,,,SWF,mwalsh,,,U,14,N,1999-05-06 00:00:00.000,94,N,1999-05-06 00:00:00.000,,Unk,aspellman,1999-05-29 00:00:00.000,D,2009-07-09 13:59:06.753
524,1999-05-16 00:00:00.000,1,FL,Brevard,Cocoa,Cocoa Beach,28.363890,-80.612500,U,U,A,Enta,,,,,0,,,Unk,mwalsh,,,U,0,U,1999-05-16 00:00:00.000,0,U,1999-05-16 00:00:00.000,,Unk,bwagoner,1999-05-29 00:00:00.000,D,2009-07-09 13:59:06.753
525,1991-05-02 00:00:00.000,1,FL,St. Johns,Ponte Vedra Beach,Guana River,30.023330,-81.328330,U,U,A,TrWC,"animal swam underneath salinity barrier, exposed to concentrated recreational fishing",,,,0,,,,,,,U,409,Y,1991-05-02 00:00:00.000,274,N,1991-05-02 00:00:00.000,Fitted with a radio tag and released.,DEP,swright,1991-06-20 00:00:00.000,dszemer,2011-06-07 10:13:54.970
526,1992-09-02 00:00:00.000,1,FL,Miami/Dade,Miami,Kings Bay Pond,89.999900,-179.999900,U,U,A,NaTi,,,,,0,,,Unk,unk,,,U,409,N,1992-09-02 00:00:00.000,265,N,1992-09-02 00:00:00.000,,Unk,unk,1992-09-02 00:00:00.000,D,2009-07-09 13:59:06.753
527,1996-08-16 00:00:00.000,1,FL,Manatee,Braden River,Braden River,27.456670,-82.493330,U,U,I,Inc ,,,,,0,,,,,,,U,0,U,1996-08-16 00:00:00.000,244,N,1996-08-16 00:00:00.000,,MMPL,unk,1996-08-16 00:00:00.000,dszemer,2011-04-14 11:25:34.410
528,1979-01-01 00:00:00.000,1,UU,Unknown,Unknown,Unknown,89.999900,-179.999900,U,U,A,Enta,,,,,0,,,Unk,unk,,,U,0,U,1979-01-01 00:00:00.000,0,U,1979-01-01 00:00:00.000,,Unk,unk,1979-01-01 00:00:00.000,D,2009-07-09 13:59:06.753
529,1981-02-05 00:00:00.000,1,UU,Unknown,Unknown,Unknown,89.999900,-179.999900,U,U,A,NaTi,,,,,0,,MSQ,Unk,unk,,,U,0,U,1981-02-05 00:00:00.000,0,U,1981-02-05 00:00:00.000,,Unk,unk,1981-02-05 00:00:00.000,D,2009-07-09 13:59:06.753
530,1979-07-18 00:00:00.000,1,UU,Unknown,Unknown,Unknown,89.999900,-179.999900,U,U,A,NaTi,,,,,0,,FMP,Unk,unk,,,U,0,U,1979-07-18 00:00:00.000,0,U,1979-07-18 00:00:00.000,,Unk,unk,1979-07-18 00:00:00.000,D,2009-07-09 13:59:06.753
531,1994-07-23 00:00:00.000,1,FL,Clay,Penn Creek,Swimming Penn Creek,89.999900,-179.999900,U,U,A,Enta,,,,,0,,,Unk,unk,,,U,0,U,1994-07-23 00:00:00.000,0,U,1994-07-23 00:00:00.000,,Unk,unk,1994-07-23 00:00:00.000,D,2009-07-09 13:59:06.753
532,1980-08-08 00:00:00.000,1,UU,Unknown,Unknown,Unknown,89.999900,-179.999900,U,U,A,Enta,,,,,0,,FMP,Unk,unk,,,U,0,U,1980-08-08 00:00:00.000,0,U,1980-08-08 00:00:00.000,,Unk,unk,1980-08-08 00:00:00.000,D,2009-07-09 13:59:06.753
533,1999-09-08 00:00:00.000,1,LA,Jefferson Parrish,Unknown,West Point a la hache,29.545000,-89.803340,U,U,A,TrPo,,,,,0,,,Unk,unk,,,U,409,Y,1999-09-08 00:00:00.000,260,Y,1999-09-08 00:00:00.000,,Unk,unk,1999-09-08 00:00:00.000,D,2009-07-09 13:59:06.753
534,2001-01-11 00:00:00.000,1,FL,Hillsborough,Sulphur Springs,Hillsborough River,28.020830,-82.452220,U,G,B,NaCs,,,,,0,,,LPZ,dmurphy,"LPZ, FWC",,U,192,N,2001-01-11 00:00:00.000,208,N,2001-01-11 00:00:00.000,small animal alone in cold water Sulphur Springs,LPZ,unk,2001-01-16 00:00:00.000,D,2009-07-09 13:59:06.753
535,2001-05-01 00:00:00.000,1,FL,Hillsborough,Tampa,Old Tampa Bay,27.973800,-82.603020,U,C,B,NaDp,,,,,1,,,LPZ,dmurphy,LPZ,,U,24,N,2001-05-01 00:00:00.000,118,N,2001-05-01 00:00:00.000,"Died after rescue Tampa, approx. 1/4 mile E of Courtney Campbell boat ramp",LPZ,unk,2001-05-01 00:00:00.000,D,2009-07-09 13:59:06.753
536,2001-11-01 00:00:00.000,1,FL,Citrus,Crystal River,Kings Bay,28.902250,-82.613940,U,C,B,BoIm,,,,,0,,,LPZ,dmurphy,"Crystal River National Wildlife Refuge
USGS/Sirenia, Dr.Mark Lowe,Jason and Ian Lowe",,U,315,N,2001-11-01 00:00:00.000,270,N,2001-11-01 00:00:00.000,"Captured in Bagely Cove of Kings Bay, between markers 26 & 27, tether attached by Sirenia before capture Crystal River",LPZ,dmurphy,2001-11-02 00:00:00.000,D,2009-07-09 13:59:06.753
537,2001-12-29 00:00:00.000,1,FL,Hillsborough,Tampa,Rocky Creek,28.008380,-82.581630,U,C,B,NaDp,,NaCs,,,0,,,LPZ,dmurphy,LPZ,,U,61,N,2001-12-29 00:00:00.000,137,N,2001-12-29 00:00:00.000,"Calf by itself, died shortlyafter arrival to LPZ, sign of cold stress Tampa",LPZ,unk,2001-12-29 00:00:00.000,nadimey,2009-08-19 11:42:36.987
539,2004-01-09 00:00:00.000,1,FL,Citrus,Crystal River,Blue Waters,28.799710,-82.588790,U,S,B,NaCs,,,,,0,,,LPZ,dmurphy,FMRI,,U,297,N,2004-01-09 00:00:00.000,264,N,2004-01-09 00:00:00.000, Crystal River,LPZ,vedmonds,2004-04-17 00:00:00.000,D,2009-07-09 13:59:06.753
540,2001-04-11 00:00:00.000,1,FL,Levy,Palm Bay,Canal off Withlacooche River,29.022350,-82.726780,U,C,B,NaDp,,,,,1,,,MMPL,mlowe,"CCRNWR, MAH",,U,13,N,2001-04-11 00:00:00.000,96,N,2001-04-11 00:00:00.000,"The manatee was  a newborn that had difficulty breathing, seen alone, it was taken to Midway animal hospital where it dies shortly upon arrival.   Palm Drive, Yankeetown",CHASS,unk,2001-04-11 00:00:00.000,D,2009-07-09 13:59:06.753
541,2001-04-04 00:00:00.000,1,FL,Levy,Inglis,Withlacoochee River,29.027430,-82.665550,U,C,B,NaDp,,,,,1,,,MMPL,mlowe,FWC,,U,33,N,2001-04-04 00:00:00.000,120,N,2001-04-04 00:00:00.000,"Animal found alone, it died in route to Midway Aniaml Hospital Inglis",Unk,unk,2001-04-04 00:00:00.000,D,2009-07-09 13:59:06.753
542,2004-01-23 00:00:00.000,1,FL,Citrus,Homosassa Sp State Wildlife Park,Blue Waters,89.999900,-179.999900,U,S,A,Enta,,,,,0,,,,,"American Pro, manatee watch volunteers, USFWS",,U,54,Y,2004-01-23 00:00:00.000,0,U,2004-01-23 00:00:00.000,"American pro-diver used pliers to try and remove fish hook; animal got away; removed fish line, not sure about hook. Homosassa Sp State Wildlife Park",CHASS,jklee,2004-12-31 00:00:00.000,dszemer,2009-09-29 13:19:24.867
543,2006-10-02 00:00:00.000,1,FL,Citrus,Crystal River,Kings Bay,28.891720,-82.603280,U,U,A,Enta,,,,,0,,,Unk,unk,FWS,,U,0,U,2006-10-02 00:00:00.000,183,Y,2006-10-02 00:00:00.000,animal had sail line around belly and trap line around flipper Crystal River,CHASS,nadimey,2006-10-02 00:00:00.000,D,2009-07-09 13:59:06.753
544,2001-01-11 00:00:00.000,1,FL,Citrus,Unknown,"Kings Bay, Crystal River",28.886110,-82.596950,U,S,A,Enta,,,,,0,,,Unk,unk,"USGS, CRNWR",,U,0,U,2001-01-11 00:00:00.000,280,Y,2001-01-11 00:00:00.000,"Animal was freed from an anchoring cable that was  wrapped around the tail, which was holding the floating buoy line to a cinderblock.  Robert Bonde was able to free the animal.  The line became snagged on a new scar, and when the animal tried to fre Half",CHASS,bbonde,2001-01-19 00:00:00.000,D,2009-07-09 13:59:06.753
545,2005-02-12 00:00:00.000,1,FL,Citrus,Crystal River,Three Sisters canal,89.999900,-179.999900,U,C,B,NaEm,,,,,0,,,LPZ,dmurphy,,,U,518,N,2005-02-15 00:00:00.000,360,N,2005-02-15 00:00:00.000, Crystal River,LPZ,unk,2005-02-23 00:00:00.000,dszemer,2011-06-01 13:53:01.993
546,2005-05-28 00:00:00.000,1,FL,Brevard,Melbourne,Indian River,28.099170,-79.389720,U,S,A,Enta,,,,,0,,,Unk,unk,"Melbourne Police D
epartment ",,U,0,N,2005-05-28 00:00:00.000,200,Y,2005-05-28 00:00:00.000,"Rescue performed by Melbourne Police department officer Randy Combs, before FWC intervention.  Officer Combs claimed a citizen pointed out the animal to him.  He approached with his vessel and slipped the equipment right from the juvenile's tail.  He Melb",FWCIR,csurrey,2005-05-28 00:00:00.000,D,2009-07-09 13:59:06.753
547,2005-06-08 00:00:00.000,1,FL,Brevard,Merritt Island,Banana Creek,28.523060,-79.380840,U,S,A,Enta,,,,,0,,,Unk,unk,"Dynamac


",,D,0,U,2005-06-08 00:00:00.000,0,U,2005-06-08 00:00:00.000,"Jane Pravancha and Mario Mata spotted manatee with trap around torso, drove up behind it in vessel, pulled animal out of water and cut rope.  Unable to determine if the scar required medical attention.  Gear retained.  Merritt Island National Wildlife Ref",FWCIR,unk,2005-06-08 00:00:00.000,D,2009-07-09 13:59:06.753
548,2005-07-08 00:00:00.000,1,FL,Brevard,Cape Canaveral,Indian River,28.420830,-79.387220,U,U,U,Enta,,,,,0,,,Unk,unk,,,U,0,U,2005-07-08 00:00:00.000,0,U,2005-07-08 00:00:00.000,Citizen David Wellier claims to have removed a crab trap from around the manatee's midsection but left the buoy remaining.  When C. Surrey arrived she was unable to locate the manatee. Cape Canaveral,FWCIR,csurrey,2005-07-08 00:00:00.000,D,2009-07-09 13:59:06.753
549,2006-09-28 00:00:00.000,1,FL,Brevard,Turtle Pen Point,Mosquito Lagoon,28.706670,-79.318340,U,S,I,Enta,Dynamac turtle research net,,,,0,,,,,Dynamac-Jane Provancha,,U,0,U,2006-09-28 00:00:00.000,225,Y,2006-09-28 00:00:00.000,Animals cought while crew from Dynamac doing turtle research with a net Turtle Pen Point,FWCT,jprovancha,2006-09-28 00:00:00.000,dszemer,2010-01-19 14:08:57.837
550,2006-10-26 00:00:00.000,1,TN,Memphis,Memphis,Mississippi River,89.999900,-179.999900,U,U,U,NaCs,,,,,0,,,Unk,unk,,,U,0,U,2006-10-26 00:00:00.000,292,Y,2006-10-26 00:00:00.000,"animal was observed for almost one week, a search was set for two days, the animal was not sighted; it later was reported dead Memphis, TN",SWF,nadimey,2006-10-26 00:00:00.000,D,2009-07-09 13:59:06.753
551,2006-06-23 00:00:00.000,1,GA,Chatham,Tybee Island,Oyster Creek,31.998630,-80.922580,U,U,B,BoIm,,,,,1,,,MMPL,unk,,,U,510,N,2006-06-23 00:00:00.000,294,N,2006-06-23 00:00:00.000,"excessively buoyant, died in route Tybee Island",FWCNE,nadimey,2006-06-23 00:00:00.000,D,2009-07-09 13:59:06.753
552,2001-09-02 00:00:00.000,1,FL,Volusia,Oak Hill,HalifaxRiver,28.902030,-80.836360,U,C,B,BoIm,,,,,1,,,MMPL,unk,FWC,,U,0,U,2001-09-02 00:00:00.000,235,N,2001-09-02 00:00:00.000,"Animal died beforerescue was completed N. sideof spoil island in slipper creek, Oak Hill",FWCT,unk,2001-09-02 00:00:00.000,D,2009-07-09 13:59:06.753
553,2000-05-26 00:00:00.000,1,FL,Dixie,Fowlers Bluff,Suwanee River,29.398290,-83.029850,U,U,B,NaOt,Animal Thrashing around,,,,1,,,,,,,U,346,N,2000-05-26 00:00:00.000,347,N,2000-05-26 00:00:00.000,,MMPL,unk,2000-05-25 00:00:00.000,dszemer,2009-08-27 10:25:11.797
554,2001-08-25 00:00:00.000,1,FL,Hillsborough,Unknown,Hillsborough River,27.980850,-82.475480,U,C,B,BoPr,,,,,0,,,LPZ,dmurphy,"FWC, LPZ",,U,397,N,2001-08-25 00:00:00.000,295,N,2001-08-25 00:00:00.000,Chest wound due to boat strike Under bridge (MLK),LPZ,unk,2001-08-26 00:00:00.000,D,2009-07-09 13:59:06.753
555,2001-11-15 00:00:00.000,1,FL,Citrus,Unknown,Homosassa River,28.942140,-82.778170,U,C,U,BoIm,,,,,0,,,,,"USGS Sirenia, Citrus Co. CRCNWR",,U,0,U,2001-11-15 00:00:00.000,334,N,2001-11-15 00:00:00.000,"animal suffered from chronic infection, probably due to broken bones, resultant of sever pyonthorax, very difficult to breathe, animal VHF tagged on 11/15/01 and not found again to rescue until it was found dead on 11/26/01. ",CHASS,bbonde,2001-11-15 00:00:00.000,dszemer,2016-05-06 07:40:20.663
556,2006-11-02 00:00:00.000,1,FL,Pinellas,St. Petersburg,Tampa Bay,27.866293,-82.613581,U,C,B,NaRe,,,,,1,,,MMPL,,,,U,590,N,2006-11-01 00:00:00.000,326,N,2006-11-01 00:00:00.000,"Died on scene St. Petersburg, Riviera Harbor MAP",MMPL,dszemer,2007-02-19 00:00:00.000,dszemer,2011-06-03 13:40:08.127
559,2004-07-10 00:00:00.000,1,FL,Lee,Captiva Island,Pine Island Sound,26.511430,-82.188470,U,C,B,Unk ,,,,,1,,,MMPL,unk,"FWC-LE, FWC-SW",,U,578,N,2004-07-10 00:00:00.000,338,N,2004-07-10 00:00:00.000,"animal beached, citizens helped, died onsight Captiva Island",FWCSW,nadimey,2004-12-31 00:00:00.000,D,2009-07-09 13:59:06.753
560,2001-05-19 00:00:00.000,1,PR,Pinnones,Puerto Rico,"3 nautical miles E. of Rio Grande de Loiza",18.416670,-64.133330,U,C,B,NaOt,illness,,,,1,,,MMPL,ariveraguz,CSN,,U,290,N,2001-05-19 00:00:00.000,259,N,2001-05-19 00:00:00.000,"Animal was being rescued in the water when it started convulsing and died.  It was brought to the boat and CPR was administered, however, unsuccessful. ( The animal had difficulty breathing and bouancy problems, severly bloated) Puerto Rico",CSN,unk,2001-06-06 00:00:00.000,D,2009-07-09 13:59:06.753
561,2001-10-12 00:00:00.000,1,PR,Guayama,Bo. Machete,"Sector Banderi, SE coast",18.050000,-65.900000,U,C,B,NaDp,,,,,1,,,CSN,lfigueroao,"CSN, DNR",,U,30,N,2001-10-12 00:00:00.000,121,N,2001-10-12 00:00:00.000,"Perinatal, alone, had two penetrating wounds on the mouth. Puerto Rico, Bo. Machete, East of Punta Barranca",CSN,fcarrasqui,2001-10-12 00:00:00.000,D,2009-07-09 13:59:06.753
562,2002-11-22 00:00:00.000,1,PR,Cabo Rojo,Puerto Rico,Western coast,89.999900,-179.999900,U,C,B,NaDp,,,,,0,,,CSN,lfigueroao,CSN,,U,19,N,2002-11-22 00:00:00.000,110,N,2002-11-22 00:00:00.000, Puerto Rico,CSN,nadimey,2002-11-22 00:00:00.000,D,2009-07-09 13:59:06.753
563,2002-11-11 00:00:00.000,1,PR,Ponce,Puerto Rico,SW coast,17.971670,-65.414170,U,C,B,Unk ,,,,,0,,,CSN,lfigueroao,CSN,,U,195,N,2002-11-11 00:00:00.000,238,N,2002-11-11 00:00:00.000,"animal was found before dawn with half of it's body burried in the sand.  residents tried to put animal back in water, but animal was having difficulty breathing.  Held the animal until CSN arrived.   Puerto Rico",CSN,nadimey,2002-11-12 00:00:00.000,D,2009-07-09 13:59:06.753
564,2003-05-18 00:00:00.000,1,PR,Arroyo,Puerto Rico,"Rio Patillas, SE Coast",17.987500,-65.975830,U,C,B,NaOt,Septicemia,,,,0,,,CSN,lfigueroao,CSN,,U,495,N,2003-05-18 00:00:00.000,308,N,2003-05-18 00:00:00.000,Pulmonary congestion & emaciated Puerto Rico,CSN,nadimey,2003-05-18 00:00:00.000,D,2009-07-09 13:59:06.753
565,2003-07-25 00:00:00.000,1,PR,Isabella,Sector Los Bravos,"Barrio Bajura, SE coast",18.521390,-66.893890,U,C,B,NaDp,,,,,0,,,CSN,lfigueroao,CSN,,U,99,N,2003-07-25 00:00:00.000,99,N,2003-07-25 00:00:00.000,"PREMATURE TWIN BIRTH, CALF ABANDONED Puerto Rico, Sector Los Bravos",CSN,nadimey,2003-07-25 00:00:00.000,D,2009-07-09 13:59:06.753
566,2004-07-26 00:00:00.000,1,PR,Ponce,Puerto Rico,SW Coast,17.975830,-65.343330,U,C,B,NaDp,,,,,0,,,CSN,ariveraguz,"CSN, PR DNER, UMET",,U,25,N,2004-07-26 00:00:00.000,111,N,2004-07-26 00:00:00.000, Puerto Rico,CSN,amignucci,2004-07-26 00:00:00.000,D,2009-07-09 13:59:06.753
567,2004-11-20 00:00:00.000,1,PR,Aguadilla,Puerto Rico,NW coast,89.999900,-179.999900,U,C,B,NaDp,,,,,0,,,CSN,lfigueroao,CSN,,U,22,N,2004-11-20 00:00:00.000,109,N,2004-11-20 00:00:00.000, Puerto Rico,CSN,nadimey,2004-11-20 00:00:00.000,D,2009-07-09 13:59:06.753
568,2005-03-13 00:00:00.000,1,PR,Guayama,Puerto Rico,SE Coast,89.999900,-179.999900,U,C,B,NaDp,,,,,0,,,CSN,ariveraguz,CSN,,U,28,N,2005-03-13 00:00:00.000,115,N,2005-03-13 00:00:00.000, Puerto Rico,CSN,nadimey,2005-03-13 00:00:00.000,D,2009-07-09 13:59:06.753
569,2005-09-09 00:00:00.000,1,PR,Ponce,Punta Cucharas,Unknown,17.967780,-65.331390,U,S,B,NaDp,,,,,0,,,CSN,ariveraguz,,,U,25,N,2005-09-09 00:00:00.000,111,N,2005-09-09 00:00:00.000,"newborn manatee with fetal folds Punta Cucharas, El Tuque, Ponce",CSN,unk,2005-09-09 00:00:00.000,D,2009-07-09 13:59:06.753
570,2006-08-15 00:00:00.000,1,PR,Fajaro,Unknown,Playa Sardinera,18.348050,-64.522780,U,U,B,NaDp,,NaEm,,,0,,,CSN,unk,,,U,17,N,2006-08-15 00:00:00.000,104,N,2006-08-15 00:00:00.000, S. of Playa Sardinera,CSN,nadimey,2006-08-15 00:00:00.000,D,2009-07-09 13:59:06.753
