"MLog","RelDate","RelSite","State","County","City","Waterway","BottomFeed","NatVeg","VegType","MonthsVeg","DisplayType","RelType","MonthsExpWater","Tracker","PartOrg","VetID","Weight","EstW","WDate","Length","EstL","LDate","Comments","Org","CreateBy","CreateDate","UpdateBy","UpdateDate"
771,2003-06-26 00:00:00.000,Indian Mound Park,FL,Sarasota,Englewood,"Lemon Bay, Indian Mound boat ramp",0,0,,"00",U,U,"00",,"Sea World Orlando
FWC/Southwest Field Station",sgearhart,365,N,2003-05-20 00:00:00.000,266,N,2003-04-02 00:00:00.000,"Animal was orginally brought in due to Red Tide.
She has been doing very well the past 2 months.",SWF,bwagoner,2003-06-23 00:00:00.000,D,2009-07-09 15:37:31.523
772,2003-06-26 00:00:00.000,Indian Mound Park,FL,Sarasota,Englewood,"Lemon Bay, Indian Mound boat ramp",1,0,,"00",U,U,"00",,FWC-SWFS,dmurphy,240,N,2003-04-15 00:00:00.000,223,N,2003-04-15 00:00:00.000,,LPZ,vedmonds,2003-09-25 00:00:00.000,D,2009-07-09 15:37:31.523
773,2003-06-19 00:00:00.000,Koreshan State Park,FL,Lee,Ft Myers Beach,Estero River,1,1,"hydrilla, hyacinth","03",F,B,"00",,FWC-SWFS,dmurphy,377,N,2003-06-12 00:00:00.000,280,N,2003-06-12 00:00:00.000,"On the morning of 16 April 2003, Steve Ruffino 18446 Pioneer Road (239/267-5254) noticed a large adult manatee floundering about in the canal behind his home two lots north of his address.  The manatee was struggling to the surface to breathe an",LPZ,vedmonds,2003-09-25 00:00:00.000,D,2009-07-09 15:37:31.523
774,2003-06-26 00:00:00.000,Indian Mound Park,FL,Sarasota,Englewood,"Lemon Bay, Indian Mound boat ramp",1,1,"hydrilla, hyacinth","00",U,U,"00",,FWC-SWFS,dmurphy,250,N,2003-04-16 00:00:00.000,237,N,2003-04-16 00:00:00.000,"Animal suffered from symtoms of red tide.  Recoverd within 12 hours of arrival.  At present, animal is in 5 feet of water",LPZ,vedmonds,2003-06-26 00:00:00.000,D,2009-07-09 15:37:31.523
780,2003-09-19 00:00:00.000,Lovers Key,FL,Lee,Ft Myers Beach,Estero Bay,0,0,,"00",U,U,"00",,FWC-SWFS,dmurphy,397,N,2003-09-19 00:00:00.000,285,N,2003-09-19 00:00:00.000,,LPZ,vedmonds,2003-09-19 00:00:00.000,D,2009-07-09 15:37:31.523
783,2003-07-16 00:00:00.000,Sanibel Island,FL,Lee,Cape Coral,San Carlos Bay,0,0,,"00",U,U,"00",,"FWC-SWFL
FWCLE
Sanibel Police Department",dmurphy,459,N,2003-07-16 00:00:00.000,319,N,2003-07-16 00:00:00.000,,LPZ,mpeterson,2003-07-16 00:00:00.000,D,2009-07-09 15:37:31.523
786,2004-03-03 00:00:00.000,Warm Mineral Springs,FL,Sarasota,Port Charlotte,Salt Creek/Warm Mineral Springs,1,1,hydrilla/hyacinth,"07",F,F,"00",,FWC-SWFS,dmurphy,343,N,2004-03-03 00:00:00.000,238,N,2004-02-05 00:00:00.000,,LPZ,vedmonds,2004-04-17 00:00:00.000,D,2009-07-09 15:37:31.523
791,2004-07-08 00:00:00.000,Unknown,FL,Lee,Unknown,Unknown,1,1,hydrilla/hyacinth,"00",F,B,"00",FMRI-SWFS,FMRI-SWFS,dmurphy,404,N,2004-06-17 00:00:00.000,268,N,2004-06-15 00:00:00.000,date of release and site of release yet to be determined,LPZ,vedmonds,2004-06-23 00:00:00.000,D,2009-07-09 15:37:31.523
794,2007-02-16 00:00:00.000,Warm mineral Springs,FL,Sarasota,Warm mineral Springs,Salt Creek,1,1,seagrass,"01",B,F,"00",Wildlife Trust,"Wildlife Trust 
FWC",mrodriguez,363,Y,2007-02-15 00:00:00.000,247,N,2007-02-07 00:00:00.000,,MSQ,jlinvill,2007-02-15 00:00:00.000,D,2009-07-09 15:37:31.523
798,2005-07-18 00:00:00.000,Harbour Heights,FL,Charlotte,Port Charlotte,Peace River,1,1,hyacinth / hydrilla,"00",F,B,"00",,FWC-SWFS,dmurphy,886,N,2005-07-18 00:00:00.000,338,N,2005-05-09 00:00:00.000,,LPZ,vedmonds,2005-08-23 00:00:00.000,D,2009-07-09 15:37:31.523
810,2005-07-26 00:00:00.000,Port of the Islands,FL,Collier,Naples,"Faka Union Canal, Everglades",0,0,,"00",U,U,"00",FWC-SWFS,FWC-SWFS,dmurphy,677,N,2005-07-26 00:00:00.000,328,N,2005-01-06 00:00:00.000,,LPZ,vedmonds,2005-07-26 00:00:00.000,D,2009-07-09 15:37:31.523
812,2005-07-18 00:00:00.000,Sanibel Island,FL,Lee,Cape Coral,San Carlos Bay,1,1,hydrilla/hyacinth,"03",F,B,"00",FWC-SWFS,FWC-SWFS,dmurphy,400,N,2005-07-18 00:00:00.000,255,N,2005-01-25 00:00:00.000,,LPZ,vedmonds,2005-08-23 00:00:00.000,D,2009-07-09 15:37:31.523
820,2008-02-27 00:00:00.000,Crystal River,FL,Citrus,Crystal River,Kings Bay,1,1,hydrilla/hyacinth,"00",U,U,"00",Wildlife Trust/Monica Ross,"Wildlife Trust, CRNWR",dmurphy,320,N,2008-01-31 00:00:00.000,238,N,2008-01-31 00:00:00.000,,LPZ,vedmonds,2008-07-14 00:00:00.000,D,2009-07-09 15:37:31.523
829,2003-06-19 00:00:00.000,Koreshan State Park,FL,Lee,Ft Myers Beach,Estero River,1,1,Hydrilla/hyacinth,"01",F,B,"00",,SWFS,dmurphy,379,N,2003-06-19 00:00:00.000,273,N,2003-05-15 00:00:00.000,"On the afternoon of 15 May, citizen Bob Dunn of Bonita Springs (239/949-5571) was boating in Estero Bay when he found a manatee beached on an oyster bar apparently unable to move. Mr. Dunn reported it to FWCLE-Lakeland at approximately 1315 hrs.",LPZ,vedmonds,2003-09-04 00:00:00.000,D,2009-07-09 15:37:31.523
830,2001-03-01 00:00:00.000,Blue Spring State Park,FL,Volusia,Orange Park,"Blue Spring, SJR",0,0,,"00",U,U,"00",,"SWF, FWC, FWS, BS",sgearhart,236,N,2001-02-19 00:00:00.000,208,N,2001-02-19 00:00:00.000,"Animal was released w/ SWFTm0103B, male into BS.  This animal is approx. 2 yrs. old.  Rehabbed for cold stress.",SWF,unk,2001-02-19 00:00:00.000,D,2009-07-09 15:37:31.523
831,2006-04-25 00:00:00.000,Marco Island,FL,Collier,Naples,"Flotilla Pass, Gulf of Mexico",1,1,Sea grasses,"00",U,U,"00",,"FWCC, Miami Seaquarium",mrodriguez,484,N,2006-04-25 00:00:00.000,285,N,2006-04-25 00:00:00.000,,MSQ,sgaudio,2006-05-23 00:00:00.000,D,2009-07-09 15:37:31.523
832,2006-02-20 00:00:00.000,Blue Spring State Park,FL,Volusia,Orange Park,"Blue Spring, SJR",1,0,,"00",F,F,>12,Wildlife Trust,"SWF, Blue springs State Park
FWC",bnolan,418,N,2006-01-05 00:00:00.000,261,N,2006-01-05 00:00:00.000,"Animal will be release at site with another
one, both animals will be tagged.",SWF,bwagoner,2006-01-16 00:00:00.000,dszemer,2015-08-21 09:24:41.110
833,2006-04-18 00:00:00.000,Merritt Island,FL,Brevard,Titusville,Banana River,1,0,,"00",F,B,"00",,"Sea World Florida
FWC-Indian River Field Lab",bnolan,365,N,2006-03-23 00:00:00.000,255,N,2006-03-23 00:00:00.000,"Animal was originally rescued from the Indian River, he will be 
released at KARS park.",SWF,bwagoner,2006-03-30 00:00:00.000,dszemer,2012-06-04 09:31:53.600
834,2006-02-22 00:00:00.000,Apollo Beach,FL,Hillsborough,St. Petersburg,Tampa Bay,1,1,hydrilla/hyacinth,>12,F,B,"00",,"Lowry Park Zoo, FMRI-NWFS",dmurphy,354,N,2006-02-16 00:00:00.000,260,N,2006-02-16 00:00:00.000,Manatee was not tagged for tracking,LPZ,vedmonds,2006-03-04 00:00:00.000,D,2009-07-09 15:37:31.523
835,2006-02-22 00:00:00.000,Blue Spring State Park,FL,Volusia,Orange Park,"Blue Spring, SJR",1,0,,"00",F,F,>12,Wildlife Trust,"SWF, Blue Springs State Park
FWC",mwalsh,388,N,2005-01-05 00:00:00.000,257,N,2006-01-05 00:00:00.000,"Animal will be release with another one
at site, both animals will be tagged.
",SWF,bwagoner,2006-01-16 00:00:00.000,dszemer,2010-08-11 12:36:18.717
835,2017-12-12 00:00:00.000,Blue Springs State Park,FL,Volusia,Orange,St. Johns river,1,1,,>12,F,B,>12,,"FWC, SWF, BSSP",lcroft,522,N,2018-12-12 00:00:00.000,328,N,2018-12-12 00:00:00.000,"FWC, SWF, BSSP",SWF,jpeterson,2018-01-24 09:32:37.790,dszemer,2020-04-17 09:17:07.730
835,2020-09-02 00:00:00.000,BSSP,FL,Volusia,Orange City,St. John's River,,,,,,,,,"ECFWC, Volusia,CMARI, SWF",sdirocco,554,N,2020-09-02 00:00:00.000,311,N,2020-09-02 00:00:00.000,,SWF,lbraso,2020-09-02 13:28:51.567,D,2020-09-02 13:28:51.567
836,2006-02-22 00:00:00.000,Blue Spring State Park,FL,Volusia,Orange Park,"Blue Spring, SJR",1,0,,"00",F,F,>12,,"SWF, Blue Springs State Park
FWC",mwalsh,322,N,2006-01-05 00:00:00.000,243,N,2006-01-05 00:00:00.000,"Animal was not freeze branded due to scaring around paddle
due to cold stress, he will not be tagged.",SWF,bwagoner,2006-01-16 00:00:00.000,dszemer,2010-08-11 10:01:00.123
837,2006-02-15 00:00:00.000,Warm Mineral Springs,FL,Sarasota,Port Charlotte,Salt Creek/Warm Mineral Springs,1,1,hydrilla/hyacinth,"08",F,F,"00",,"FWCC-SWFS, Wildlife Trust",dmurphy,409,N,2006-02-13 00:00:00.000,246,N,2006-02-22 00:00:00.000,,LPZ,vedmonds,2006-03-02 00:00:00.000,D,2009-07-09 15:37:31.523
838,2006-02-15 00:00:00.000,Warm Mineral Springs,FL,Sarasota,Port Charlotte,Salt Creek/Warm Mineral Springs,1,0,,"00",F,F,>12,Wildlife Trust,"Sea World Florida, Wildlife Trust
FWC",sgearhart,318,N,2006-01-05 00:00:00.000,237,N,2006-01-05 00:00:00.000,"Animal will be tagged and tracked by
Wildlife Trust",SWF,bwagoner,2006-01-15 00:00:00.000,dszemer,2011-03-29 10:53:10.847
839,2006-02-15 00:00:00.000,Warm Mineral Springs,FL,Sarasota,Port Charlotte,Salt Creek/Warm Mineral Springs,1,1,hydrilla/hyacinth,"08",F,B,"00",Wildlife Trust,"Parker Aquarium, FMRI-NWFS, Lowry Park Zoo",dmurphy,413,N,2006-02-13 00:00:00.000,265,N,2006-02-13 00:00:00.000,"Released with FMB at the end of Santa Rosa St, Salt Creek.  Manatee was tagged for tracking by Willife Trust.  Pre-release assessment notes:  manatee was twitching during ultrasound, reading was difficult and scale used at Parker Aquarium was not dig",LPZ,vedmonds,2006-03-04 00:00:00.000,D,2009-07-09 15:37:31.523
839,2007-05-29 00:00:00.000,North Port Yacht Club,FL,Sarasota,North Port Yacht Club,Myakka Hatachee,1,1,"hydrilla, hyacinth","00",U,U,"00",Wildlife Trust,"FWC, Margie Barlas, Wildlife Trust",dmurphy,354,N,2007-05-29 00:00:00.000,271,N,2007-05-25 00:00:00.000,PGB was tagged and will be monitored by Wildlife Trust,LPZ,vedmonds,2007-09-02 00:00:00.000,D,2009-07-09 15:37:31.523
840,2006-11-08 00:00:00.000,Bert Maxwell boat ramp,FL,Duval,Jacksonville,St. Johns River ,1,1,hydrilla/hyacinth,>12,U,U,>12,,"FWCC-NEFS, Jacksonville Zoo",dmurphy,459,N,2006-11-08 00:00:00.000,256,N,2006-09-20 00:00:00.000,Peduncle girth could not be recorded.  Manatee had propeller injury to tail and peduncle area.  Missing 3/4 of tail.  Straight length was also affected by the injury,LPZ,vedmonds,2006-11-27 00:00:00.000,dszemer,2018-07-24 11:09:23.230
842,2006-02-22 00:00:00.000,Apollo Beach,FL,Hillsborough,St. Petersburg,Tampa Bay,1,1,hydrilla/hyacinth,"11",F,B,"00",,FWCC-FMRI NWFS,dmurphy,331,N,2006-02-16 00:00:00.000,241,N,2006-02-16 00:00:00.000,,LPZ,vedmonds,2006-03-02 00:00:00.000,D,2009-07-09 15:37:31.523
843,2006-04-19 00:00:00.000,Indian Mound Park,FL,Sarasota,Englewood,"Lemon Bay, Indian Mound boat ramp",1,1,hydrilla/hyacinth,"00",U,U,"00",,FWC-SWFS,dmurphy,304,N,2006-04-06 00:00:00.000,254,N,2006-04-06 00:00:00.000,,LPZ,vedmonds,2006-08-07 00:00:00.000,D,2009-07-09 15:37:31.523
845,2006-05-05 00:00:00.000,Boyton Beach Boat Club,FL,Palm Beach,Delray Beach,Lake Worth,1,1,"hydrilla, hyacinth","00",U,U,"00",,FWC-SEFS,dmurphy,420,N,2006-04-25 00:00:00.000,260,N,2006-04-25 00:00:00.000,,LPZ,vedmonds,2006-08-07 00:00:00.000,dszemer,2010-12-07 11:29:23.740
846,2006-05-05 00:00:00.000,Terry Island,FL,Palm Beach,Belle Glade,"South Bay, Rim Canal, Lake Okechobee",1,1,"hydrilla, hyacinth","00",U,U,"00",,FWC-SEFS,dmurphy,277,N,2006-04-25 00:00:00.000,227,N,2006-04-25 00:00:00.000,Released on the same day as Del Ray.  Transported by FWC-SEFS,LPZ,vedmonds,2006-08-07 00:00:00.000,D,2009-07-09 15:37:31.523
847,2007-02-16 00:00:00.000,Warm Mineral Springs,FL,Sarasota,Warm Mineral Springs,Salt Creek,1,1,hydrilla / hyacinth,>12,U,U,"00",Wildlife Trust,"Wildlife Trust, FWC-SWFS",dmurphy,338,N,2007-02-08 00:00:00.000,240,N,2007-02-08 00:00:00.000,released with 1.0 manatee Clearwater Beach Boy,LPZ,vedmonds,2007-03-21 00:00:00.000,D,2009-07-09 15:37:31.523
848,2006-06-06 00:00:00.000,Canaveral National Seashore,FL,Volusia,Oak Hill,Mosquito Lagoon,1,0,,"00",U,U,"00",,"FWC-Indain River Field Station
CNS Rangers, SWF",mwalsh,500,N,2006-05-02 00:00:00.000,262,N,2006-05-02 00:00:00.000,"Animal will be released along with her calf, ""Spout""
(sWFTm0515B) Neither animal will be tagged.",SWF,bwagoner,2006-05-18 00:00:00.000,D,2009-07-09 15:37:31.523
849,2006-06-06 00:00:00.000,Canaveral National Seashore,FL,Volusia,Oak Hill,Mosquito Lagoon,1,0,,"00",U,U,"00",,"FWC-Indian River Field Station
CNS-Rangers, SWF",mwalsh,311,N,2006-05-02 00:00:00.000,226,N,2006-05-02 00:00:00.000,"Animal will be released along with mother ""Wave""
(SWFTm0514B). Neither animal will be tagged.",SWF,bwagoner,2006-05-18 00:00:00.000,D,2009-07-09 15:37:31.523
850,2006-06-22 00:00:00.000,Parish Park,FL,Brevard,Titusville,Indian River,1,0,,"00",U,U,"00",,"FWC-Indian River Field Lab
SWF",bnolan,620,N,2006-06-22 00:00:00.000,293,N,2006-06-22 00:00:00.000,"Release form was resubmitted with pit tag numbers and updated
weights and TL. Released at Parish Park, Titusville.",SWF,bwagoner,2006-06-22 00:00:00.000,D,2009-07-09 15:37:31.523
852,2006-09-29 00:00:00.000,Parish Park,FL,Brevard,Titusville,Indian River,1,0,,"00",U,U,"00","None, not being tracked","FWC-Indian River Field Lab
SWF ",bnolan,400,N,2006-08-17 00:00:00.000,284,Y,2007-09-27 00:00:00.000,"Animal was a known animal by FWC,
photographed in 2000 with same lump on back.",SWF,bwagoner,2006-09-29 00:00:00.000,D,2009-07-09 15:37:31.523
860,2006-10-06 00:00:00.000,St. Augustine,FL,St. Johns,St. Augustine,Tolomato River,0,0,,"00",U,U,"00",,SWF,mwalsh,475,N,2006-10-06 00:00:00.000,288,N,2006-10-06 00:00:00.000,,SWF,bwagoner,2006-10-06 00:00:00.000,D,2009-07-09 15:37:31.523
863,2008-02-11 00:00:00.000,Orange City,FL,Volusia,Orange City,Blue Springs,1,0,,"00",U,U,"00",Monica Ross/Wildlife Trust,"SWF, Wildlife Trust, FWC-Indian River Field Lab
Blue Springs State Park",sgearhart,338,N,2007-12-27 00:00:00.000,247,N,2007-12-27 00:00:00.000,"Orphaned animal, will be released with
another animal (Annie)",SWF,bwagoner,2008-02-07 00:00:00.000,D,2009-07-09 15:37:31.523
864,2006-06-15 00:00:00.000,Parish Park,FL,Brevard,Titusville,Indian River,1,0,,"00",U,U,"00",,"FWC-Indian River Field Station
SWF",mwalsh,252,N,2006-01-05 00:00:00.000,244,N,2006-06-06 00:00:00.000,"Rescued with mother Cyclone(SWFTm0510B), both
will be released together.",SWF,bwagoner,2006-06-08 00:00:00.000,D,2009-07-09 15:37:31.523
865,2006-04-25 00:00:00.000,Marco island,FL,Collier,Naples,"Flotilla Pass, Gulf of Mexico",1,0,,"00",U,U,"00",,"Miami Seaquarium, FWCC",mrodriguez,481,N,2006-04-25 00:00:00.000,282,N,2006-04-25 00:00:00.000,,MSQ,sgaudio,2006-05-23 00:00:00.000,D,2009-07-09 15:37:31.523
867,2007-09-18 00:00:00.000,Sebastian - Dale Wimbrow Park,FL,Indian River,Sebastian,St. Sebastian River,1,1,seagrass,"00",U,U,"00",,"FWC, SWF",mrodriguez,402,N,2007-09-18 00:00:00.000,237,N,2007-09-11 00:00:00.000,Released with Sebastian (MSTM0705) at Dale Wimbrow Park.,MSQ,jlinvill,2007-09-20 00:00:00.000,D,2009-07-09 15:37:31.523
868,2006-11-20 00:00:00.000,Koreshan State Park,FL,Lee,Ft Myers Beach,Estero River,1,1,hydrilla/hyacinth,"09",U,U,"09",,FWC-SWFS,dmurphy,454,N,2006-11-20 00:00:00.000,282,N,2006-10-26 00:00:00.000,transported with Carlos LPZ102259,LPZ,vedmonds,2006-11-27 00:00:00.000,D,2009-07-09 15:37:31.523
869,2009-03-04 00:00:00.000,Crystal River,FL,Citrus,Crystal River,Crystal River,1,,,,F,F,"12",,"Wildlife Trust-Monica Ross/Buddy Powell
SWF",sgearhart,297,N,2009-01-15 00:00:00.000,248,N,2009-01-15 00:00:00.000,Animal was tagged by Monica Ross,SWF,bwagoner,2010-02-02 05:33:43.720,D,2010-02-02 05:33:43.720
869,2010-02-17 00:00:00.000,Three Sisters,FL,Citrus,Crystal River,Crystal River,1,1,Sea grass,"01",F,F,>12,Sea2Shore,"USFWS, Sea2Shore, USGS and SeaWorld",sgearhart,364,N,2010-01-13 00:00:00.000,255,N,2010-01-13 00:00:00.000,"This is the second time that C.C. will have been released in the Crystal River, originally released on 3/4/09 and then rescued again on 4/10/09. ",FWS,bwagoner,2010-02-18 11:40:03.600,nadimey,2011-02-01 13:03:40.180
869,2011-02-16 00:00:00.000,Three Sisters Spring,FL,Citrus,Crystal River,Three Sisters Spring,1,1,hydrilla,>12,F,B,,Sea to ,,rball,365,N,2010-01-27 00:00:00.000,263,N,2011-01-27 00:00:00.000,,LPZ,vedmonds,2011-03-06 17:19:54.300,D,2011-03-06 17:19:54.300
875,2007-06-08 00:00:00.000,"Dale Wimbrow Park, Sebastian",FL,Indian River,Sebastian,St. Sebastian River,1,0,,"00",U,U,"00",,"FWC-Indian River Field Lab
SWF",sgearhart,422,N,2007-06-07 00:00:00.000,259,N,2007-04-12 00:00:00.000,"Animal was freeze branded N1 in two sites,
between shoulders and above peduncle.",SWF,bwagoner,2007-06-17 00:00:00.000,D,2009-07-09 15:37:31.523
876,2006-11-16 00:00:00.000,Koreshan State Park,FL,Lee,Ft Myers Beach,Estero River,1,1,hydrilla/hyacinth,"05",U,U,"05",,FWC-SWFS,dmurphy,418,N,2006-11-16 00:00:00.000,302,N,2006-09-20 00:00:00.000,,LPZ,vedmonds,2006-11-27 00:00:00.000,D,2009-07-09 15:37:31.523
877,2006-11-16 00:00:00.000,Koreshan State Park,FL,Lee,Ft Myers Beach,Estero River,1,1,hydrilla/hyacinth,"05",U,U,"05",,FWC-SWFS,dmurphy,325,N,2006-11-16 00:00:00.000,254,N,2006-09-20 00:00:00.000,Released with Hurricane Bay LPZ 102231,LPZ,vedmonds,2006-11-27 00:00:00.000,D,2009-07-09 15:37:31.523
878,2006-11-09 00:00:00.000,St. Petersburg,FL,Pinellas,Gulfport,Long Bayou,1,1,hydrilla/hyacinth,"06",U,U,"06",,FMRI-NWFS,dmurphy,386,N,2006-11-09 00:00:00.000,263,N,2006-09-20 00:00:00.000,,LPZ,vedmonds,2006-11-27 00:00:00.000,D,2009-07-09 15:37:31.523
880,2006-11-01 00:00:00.000,Port of the Islands,FL,Collier,Naples,"Faka Union Canal, Everglades",1,1,Hydrilla/hyacinth,"04",U,U,"04",,FWCC-SWFS,dmurphy,327,N,2006-11-01 00:00:00.000,246,N,2006-10-26 00:00:00.000,,LPZ,vedmonds,2006-11-27 00:00:00.000,D,2009-07-09 15:37:31.523
882,2006-11-20 00:00:00.000,Matlacha/Pine Island Rd,FL,Lee,Pine Island,Matlacha Pass,1,1,hydrilla/hyacinth,"01",U,U,"01",,FWC-SWFS,dmurphy,320,N,2006-11-20 00:00:00.000,268,N,2006-11-17 00:00:00.000,transported with Many Pass LPZ 102181,LPZ,vedmonds,2006-11-27 00:00:00.000,D,2009-07-09 15:37:31.523
884,2007-05-31 00:00:00.000,"KARS Park, Merritt Island, FL",FL,Brevard,Merritt Island,Banana River,1,0,,"00",U,U,"00",,"FWC-Indian River Field Lab
SWF",sgearhart,613,N,2007-05-31 00:00:00.000,296,N,2007-04-12 00:00:00.000,"Animal was originally rescued from the 
Banana River(marine environment).",SWF,bwagoner,2007-06-17 00:00:00.000,D,2009-07-09 15:37:31.523
885,2001-03-15 00:00:00.000,Blue Spring State Park,FL,Volusia,Orange Park,"Blue Spring, SJR",0,0,,"00",U,U,"00",,"SWF, BS",sgearhart,245,N,2001-03-15 00:00:00.000,227,N,2001-03-15 00:00:00.000,,SWF,bwagoner,2001-03-15 00:00:00.000,D,2009-07-09 15:37:31.523
886,2009-02-26 00:00:00.000,Blue Spring State Park,FL,Volusia,Orange City,Blue Spring,1,1,hydrilla,"01",F,F,>12,Monica Ross,"FWC, SWF, WT",sgearhart,605,N,2009-01-15 00:00:00.000,292,N,2009-01-15 00:00:00.000,,MMPL,nadimey,2009-09-08 09:44:00.657,dszemer,2010-02-05 10:33:14.887
894,2007-09-18 00:00:00.000,Sebastian - Dale Wimbrow Park,FL,Indian River,Sebastian,St. Sebastian River,1,1,seagrass,"00",U,U,"00",,FWC,mrodriguez,390,N,2007-09-18 00:00:00.000,258,N,2007-09-11 00:00:00.000,Released with Bronco (MSTM0702)at Dale Wimbrow Park,MSQ,jlinvill,2007-09-20 00:00:00.000,D,2009-07-09 15:37:31.523
898,2007-11-14 00:00:00.000,Naples,FL,Collier,Naples,Rookery Bay,1,1,Sea Grass,"00",U,U,"00",,FWC,mrodriguez,318,N,2007-11-14 00:00:00.000,255,N,2007-11-14 00:00:00.000,,MSQ,jlinvill,2007-01-09 00:00:00.000,D,2009-07-09 15:37:31.523
901,2007-06-07 00:00:00.000,"KARS Park, Merritt Island, FL",FL,Brevard,Merritt Island,Banana River,1,0,,"00",U,U,"00",,"FWC-Indian River Field Lab
SWF",cdold,329,N,2007-06-07 00:00:00.000,227,N,2007-04-12 00:00:00.000,"Animal was freeze branded N2 in two sites
between shoulders and above peduncle.",SWF,bwagoner,2007-06-17 00:00:00.000,D,2009-07-09 15:37:31.523
909,2009-03-18 00:00:00.000,Coral Gables,FL,Miami/Dade,Miami,Coral Gables Waterway,1,1,seagrass,"01",B,B,>12,,"FWC, DERM",mrodriguez,395,N,2009-03-18 00:00:00.000,251,N,2009-03-19 00:00:00.000,,MSQ,jlinvill,2009-08-27 15:03:51.923,dszemer,2012-04-30 10:59:20.983
910,2009-01-27 00:00:00.000,Salt Springs,FL,Marion,Salt Springs,Salt Springs River,1,0,,"00",U,U,"00",,"FWC, Ocala National Forest
Biologists, USGS, SWF",sgearhart,284,N,2008-11-04 00:00:00.000,228,N,2008-11-04 00:00:00.000,"Original cold stress animal, one of four 
animals getting released at Salt Springs, FL",MMPL,bwagoner,2009-01-21 00:00:00.000,dszemer,2009-12-04 11:18:17.207
910,2010-02-08 00:00:00.000,Berkeley Canal,FL,Brevard,Satellite Beach,Banana River,1,1,Sea grass,"01",F,B,>12,,,sgearhart,375,N,2010-01-13 00:00:00.000,259,N,2010-01-13 00:00:00.000,Kennedy was released once before at Salt Springs (1/27/09)but had to come back in. He was originally rescued from the Indian River in titusville due to cold stress,FWS,bwagoner,2010-02-10 11:11:41.260,nadimey,2011-06-06 12:33:28.950
914,2008-05-08 00:00:00.000,Harbour Heights,FL,Charlotte,Harbour Heights,Peace River,0,1,hydrilla/hyacinth,"00",U,U,"00",,FWC-SWFS,dmurphy,379,N,2008-05-01 00:00:00.000,263,N,2008-05-01 00:00:00.000,,LPZ,vedmonds,2008-06-18 00:00:00.000,D,2009-07-09 15:37:31.523
915,2007-09-13 00:00:00.000,Crystal River,FL,Citrus,Homosassa ,Crystal River,1,1,"hyacinth,hydrilla","00",U,U,"00",,"FWC-NWFS, USFWS-CRNWR",dmurphy,477,N,2007-08-29 00:00:00.000,288,N,2007-08-29 00:00:00.000,Manatee rescued from Texas,LPZ,vedmonds,2008-01-14 00:00:00.000,D,2009-07-09 15:37:31.523
915,2012-05-16 00:00:00.000,CRNWR,FL,Citrus,Crystal River,Three Sisters Spring,,,,,,,,,CRNWR,rball,495,N,2012-05-09 00:00:00.000,292,N,2012-05-09 00:00:00.000,,FWS,vedmonds,2012-05-16 17:36:35.980,nadimey,2013-02-11 11:53:43.013
924,2010-02-16 00:00:00.000,Three Sisters Springs,FL,Citrus,Crystal River,Three Sisters Spring,1,1,"Hydrilla, Hyacinth and Najas","12",F,F,"12",Monica Ross,"University of Fl, USFWS-Chassahowitzka National Wildlife Refuge, USGS,FMRI-MMPL, FL DEP Rec & Parks Homosassa, Lowry Park Zoo and MRP.",mlowe,329,N,2010-02-16 00:00:00.000,250,N,2010-02-16 00:00:00.000,Veterinarian Dr. Mike Walsh,FWS,slowe,2010-02-24 16:33:42.530,nadimey,2011-07-26 14:21:49.213
925,2007-09-07 00:00:00.000,Port of the Islands,FL,Collier,Port of the Islands,Faka Union Canal,1,1,"hydrilla,hyacinth","00",U,U,"00",,"FWC-SWFS, FWC-NWFS",dmurphy,490,N,2007-08-21 00:00:00.000,294,N,2007-08-31 00:00:00.000,Tagged by USGS,LPZ,vedmonds,2007-09-02 00:00:00.000,D,2009-07-09 15:37:31.523
927,2012-02-13 00:00:00.000,CRNWR,FL,Citrus,Crystal River,Three Sisters Spring,1,1,Coontail,"03",F,F,>12,,"USFWS, USGS and S2S ",rball,289,N,2012-01-24 00:00:00.000,241,N,2012-01-24 00:00:00.000,,FWS,slowe,2012-02-17 16:07:46.900,nadimey,2013-02-11 12:35:42.720
929,2010-02-16 00:00:00.000,Three Sisters Springs,FL,Citrus,Crystal River,"Crystal River, Kings Bay",1,1,"Hydrilla,Hyacinth and Najas","12",F,F,"12",Monica Ross,"University of Florida, USFWS-Chassahowitzka National Wildlife Refuge,USGS, FMRI-MMPL, Fl DEP Rec & Parks Homosassa,Lowry Park Zoo,MRP",mlowe,313,N,2010-02-16 00:00:00.000,236,N,2010-02-16 00:00:00.000,Dr. Mike Walsh,HSSWP,slowe,2010-02-24 16:23:18.447,D,2010-02-24 16:23:18.447
929,2010-06-09 00:00:00.000,Crystal River,FL,Citrus,Crystal River,King's Bay,1,1,hydrilla,"03",F,B,"03",Sea to Shore Alliance,,gmyers,294,Y,2010-06-08 00:00:00.000,244,N,2010-05-20 00:00:00.000,,LPZ,vedmonds,2010-06-22 06:59:49.520,D,2010-06-22 06:59:49.520
