"MLog","DeathDate","CauseID","OtherText","Euth","DeathLoc","Org","VetID","Comments","CreateBy","CreateDate","UpdateBy","UpdateDate"
541,2001-04-04 00:00:00.000,NaDe,"",0,Trans,MMPL,unk,"Calf found alone, died during transport depleted fat stores",tpitchford,2001-04-04 00:00:00.000,D,2009-07-09 10:09:34.293
545,2005-08-19 00:00:00.000,NaOt,emaciated,1,Rehab,LPZ,dmurphy,See Veterinarian,vedmonds,2005-08-23 00:00:00.000,D,2009-07-09 10:09:34.293
551,2006-06-23 00:00:00.000,BoIm,,0,Trans,FWCNE,unk,,dszemer,2006-06-23 00:00:00.000,D,2009-07-09 10:09:34.293
552,2001-09-02 00:00:00.000,BoIm,,0,Resc,FWCIR,unk,Animal died before rescue was completed,unk,2001-09-02 00:00:00.000,D,2009-07-09 10:09:34.293
553,2000-05-26 00:00:00.000,NaOt,Obstructed Colon,0,Resc,CHASS,unk, Obstructed Colon,unk,2000-05-25 00:00:00.000,dszemer,2009-08-26 16:40:21.947
554,2001-08-25 00:00:00.000,BoPr,,0,Rehab,LPZ,dmurphy,Chest wound due to boat strike,jhackshaw,2001-08-26 00:00:00.000,D,2009-07-09 10:09:34.293
556,2006-11-02 00:00:00.000,NaRe,"",0,Resc,MMPL,unk, Red-tide,dszemer,2006-11-02 00:00:00.000,D,2009-07-09 10:09:34.293
558,2006-05-05 00:00:00.000,NaOt,fetal trauma,0,Rehab,MSQ,mrodriguez,"Necropsy showed Patch had evidence of fetal trauma. Patch a twin was born, could be watercraft impact from mom,  at Miami Seaquarium from Ocean. Ocean was rescued with pneumothorax due to watercraft impact.",sgaudio,2006-06-01 00:00:00.000,D,2009-07-09 10:09:34.293
559,2004-07-10 00:00:00.000,Unde,"",0,Resc,FWCSW,unk,Dies on site possible water/natur,dgrant,2004-07-10 00:00:00.000,D,2009-07-09 10:09:34.293
560,2001-05-22 00:00:00.000,NaOt,Possbile pneumonia,0,Resc,CSN,lfigueroao,"Possible pneumonia, old shark bite, Animal died after 3 hrs of attemting to recue it. It started convulsing, first aid was attempted. poss pneumonia",unk,2001-05-22 00:00:00.000,D,2009-07-09 10:09:34.293
561,2001-10-12 00:00:00.000,NaDe,"",0,Trans,CSN,lfigueroao,Animal died after shortly being rescued.,fcarrasqui,2001-10-12 00:00:00.000,D,2009-07-09 10:09:34.293
562,2002-11-24 00:00:00.000,NaDe,"",0,Rehab,CSN,lfigueroao,,nadimey,2002-11-24 00:00:00.000,D,2009-07-09 10:09:34.293
563,2002-11-12 00:00:00.000,NaOt,terminal septicemia,0,Rehab,CSN,lfigueroao, terminal septicemia,nadimey,2002-11-12 00:00:00.000,D,2009-07-09 10:09:34.293
564,2003-06-08 00:00:00.000,NaOt,Pulmonary congestion & emaciated emaciated/pulmona,0,Rehab,CSN,lfigueroao,Pulmonary congestion & emaciated emaciated/pulmonary ,nadimey,2003-06-08 00:00:00.000,D,2009-07-09 10:09:34.293
565,2003-07-27 00:00:00.000,NaDe,"",0,Rehab,CSN,lfigueroao,Colics,nadimey,2003-07-29 00:00:00.000,D,2009-07-09 10:09:34.293
566,2006-07-29 00:00:00.000,NaDe,"",0,Rehab,CSN,ariveraguz,,amignucci,2006-07-29 00:00:00.000,D,2009-07-09 10:09:34.293
567,2004-12-11 00:00:00.000,NaDe,"",0,Rehab,CSN,lfigueroao,,nadimey,2004-12-11 00:00:00.000,D,2009-07-09 10:09:34.293
568,2005-03-23 00:00:00.000,NaDe,"",0,Rehab,CSN,ariveraguz,GI Problems,nadimey,2005-03-23 00:00:00.000,D,2009-07-09 10:09:34.293
570,2007-12-12 00:00:00.000,NaOt,,0,Rehab,CSN,ariveraguz,,nadimey,2009-09-08 10:57:03.980,D,2009-09-08 10:57:03.980
575,2003-07-20 00:00:00.000,Deco,"",0,AftRel,SWF,bnolan,"Putnam County, too decomposed",nadimey,2003-09-25 00:00:00.000,D,2009-07-09 10:09:34.293
577,2001-02-01 00:00:00.000,BoPr,,1,Rehab,SWF,mwalsh,"Animal had died due to propellar strike from a boat.  Severe blood loss, skeletal trauma, necrotic prop wounds.",bwagoner,2001-02-01 00:00:00.000,D,2009-07-09 10:09:34.293
579,2001-05-13 00:00:00.000,BoIm,,0,Rehab,SWF,mwalsh,"watercraft related, blunt trauma",bwagoner,2001-05-17 00:00:00.000,D,2009-07-09 10:09:34.293
581,2001-10-23 00:00:00.000,BoIm,,0,Rehab,SWF,mwalsh,SWFTm 0121 was rescued with a dependant calf (SWFTm0122) which was seperated from the mother and is weaned and doing well.,rrunnells,2001-10-23 00:00:00.000,D,2009-07-09 10:09:34.293
584,2010-10-18 00:00:00.000,Unde,too decomposed,0,AftRel,MMPL,,,dszemer,2011-01-07 11:56:46.777,D,2011-01-07 11:56:46.777
585,2002-10-03 00:00:00.000,BoIm,,0,Rehab,SWF,mwalsh,blunt trauma,nadimey,2002-10-03 00:00:00.000,D,2009-07-09 10:09:34.293
586,2005-07-09 00:00:00.000,NaDe,"",0,Rehab,SWF,bnolan,"Animal had appetite problems, not eating solids, still requires nasogastric tubings. Dr.Chittick will send full necropsy report once histology reports are back. Enteritis/pneumonia",bwagoner,2005-07-11 00:00:00.000,D,2009-07-09 10:09:34.293
588,2006-09-17 00:00:00.000,Deco,"",0,AftRel,MMPL,unk,Undetermined; too decomposed.  Field necropsy performed at NE Field Station,dszemer,2006-10-02 00:00:00.000,D,2009-07-09 10:09:34.293
589,2002-07-08 00:00:00.000,NaOt,numerous clots chronic omphalitis,0,Rehab,SWF,mwalsh,numerous clots chronic omphalitis,nadimey,2002-07-08 00:00:00.000,D,2009-07-09 10:09:34.293
590,2002-09-26 00:00:00.000,BoPr,,0,Rehab,SWF,sgearhart,"Propellar, Pyrothorax of Left chest, secondary to boat injury",rrunnells,2002-10-03 00:00:00.000,D,2009-07-09 10:09:34.293
591,2011-08-08 00:00:00.000,BoIm,,0,AftRel,MMPL,,,dszemer,2012-01-05 13:48:57.627,D,2012-01-05 13:48:57.627
597,2003-07-28 00:00:00.000,BoIm,,0,Trans,SWF,bnolan,Animal died during transport to SWF. Was picked up later that day by FWC and taken to Marine Mammal Pathobiology Lab for necropsy.,bwagoner,2003-09-25 00:00:00.000,D,2009-07-09 10:09:34.293
599,2013-09-29 00:00:00.000,BoIm,,0,AftRel,MMPL,,,dszemer,2014-01-24 11:23:47.457,D,2014-01-24 11:23:47.457
600,2013-03-12 00:00:00.000,Huma,"monofilament/braided line; plication of small intestine, necrotic lesions",0,AftRel,MMPL,,,dszemer,2014-10-21 12:29:00.110,D,2014-10-21 12:29:00.110
603,2004-02-16 00:00:00.000,BoPr,,0,Rehab,SWF,sgearhart,"Animal died around 9:30am on 2/16/04 and picked 
up by FWC (Spellman/Beard) taken to MMPL that day.",bwagoner,2004-02-22 00:00:00.000,D,2009-07-09 10:09:34.293
604,2013-06-20 00:00:00.000,Unde,,0,AftRel,MMPL,,,dszemer,2014-01-24 11:17:29.820,D,2014-01-24 11:17:29.820
606,2004-05-07 00:00:00.000,NaDe,"",0,Rehab,SWF,bnolan,samonella,rrunnells,2004-05-12 00:00:00.000,D,2009-07-09 10:09:34.293
607,2004-05-13 00:00:00.000,BoPr,,0,Rehab,SWF,sgearhart,,slehr,2004-05-13 00:00:00.000,D,2009-07-09 10:09:34.293
610,2004-11-28 00:00:00.000,NaDe,"",0,Resc,FWCIR,unk,,aspellman,2004-11-28 00:00:00.000,D,2009-07-09 10:09:34.293
611,2004-12-03 00:00:00.000,NaOt,Septicemia/necrotic,1,Rehab,SWF,mwalsh,"Young animal found at FPL Power Plant, Port St. John, entire fluke was necrotic. Likely septicemia, multiple abscesses in umbilicus, pectoral flippers, kidney, adjacent to spine, necrotic paddle and rectum. Septicemia/necrotic",bwagoner,2004-12-08 00:00:00.000,D,2009-07-09 10:09:34.293
613,2006-03-23 00:00:00.000,NaOt,cacious material in lungs emaciated & infectio,0,AftRel,FWCIR,unk,cacious material in lungs emaciated & infectio,dszemer,2006-04-18 00:00:00.000,D,2009-07-09 10:09:34.293
614,2017-01-05 00:00:00.000,Unde,,0,Rehab,SWF,lcroft,"On 1/05/2017 Tsunami was found dead at 6am by SeaWorld rehab team. FWC transported her to the path lab for necropsy to be completed.

MMPL Necropsy results: The manatee died from a bacterial infection.  The origin of the infection could not be determined (watercraft wounds vs. natural); therefore, COD is undetermined.",jpeterson,2017-01-10 04:32:22.410,dszemer,2019-10-04 11:35:25.010
616,2005-07-28 00:00:00.000,BoIm,,0,Resc,SWF,unk,,unk,2005-07-28 00:00:00.000,D,2009-07-09 10:09:34.293
619,2005-12-08 00:00:00.000,NaDe,"",0,Rehab,SWF,sgearhart, Possible cold stress,bwagoner,2005-12-18 00:00:00.000,D,2009-07-09 10:09:34.293
620,2005-12-29 00:00:00.000,NaDe,"",0,Trans,MMPL,unk, Natural,dszemer,2005-12-29 00:00:00.000,D,2009-07-09 10:09:34.293
621,2006-02-14 00:00:00.000,BoPr,,0,Trans,FWCIR,unk,,dszemer,2006-02-14 00:00:00.000,D,2009-07-09 10:09:34.293
622,2006-02-20 00:00:00.000,NaCs,"",0,Resc,FWCIR,unk, Cold Stress,dszemer,2006-02-20 00:00:00.000,D,2009-07-09 10:09:34.293
623,2006-03-12 00:00:00.000,BoPr,,1,Trans,FWCIR,unk,,dszemer,2006-03-12 00:00:00.000,D,2009-07-09 10:09:34.293
629,2002-01-27 00:00:00.000,BoPr,,0,AftRel,MMPL,,,dszemer,2014-01-06 08:17:00.450,D,2014-01-06 08:17:00.450
630,2001-04-27 00:00:00.000,BoPr,,0,Trans,MMPL,mwalsh,"Animal was aknown individual, tagged in 1997 in Georgia by B. Bonde.  Died from watercraft, propellar wounds across peduncle & tissue on fluke necrotic and devitalized. ",tpitchford,2001-04-29 00:00:00.000,D,2009-07-09 10:09:34.293
632,2001-08-30 00:00:00.000,BoBo,,1,Rehab,SWF,mwalsh,"Animal rescued from Ormond beach  on 8/30/01 in  shallow water.  Had an old scar 3ftx 2ft with major infection, then another 2ftx1ft long abscess, thin; very unusual combination of problems, no spinal use, pushes itself up w/ pec's, severpropellar wo",nadimey,2001-08-31 00:00:00.000,D,2009-07-09 10:09:34.293
634,2017-07-12 00:00:00.000,Unde,Too decomposed; mating scrapes were present.,0,AftRel,FWCNE,,Recovered from Putnam County in the St. Johns River.,ngordon,2017-07-17 07:39:33.907,D,2017-07-17 07:39:33.907
636,2003-04-16 00:00:00.000,NaDe,"",0,Rehab,SWF,bnolan, Orphaned animal rescued and brought to SWF by FWC. Orphaned for 48 hours. Died shorthly after arriving at SWF.,bwagoner,2003-09-25 00:00:00.000,D,2009-07-09 10:09:34.293
638,2003-08-01 00:00:00.000,NaOt,"emphysematous & ulcerative colitis, bronchopneumon",0,Rehab,SWF,bnolan,"natural, colitus,",nadimey,2003-05-21 00:00:00.000,D,2009-07-09 10:09:34.293
640,2010-01-18 00:00:00.000,NaCs,Recovered during a cold related UME.,0,AftRel,MMPL,,,dszemer,2010-03-29 10:51:43.887,D,2010-03-29 10:51:43.887
641,2011-02-14 00:00:00.000,BoUn,,0,Trans,MMPL,,,dszemer,2018-11-08 14:00:20.447,D,2018-11-08 14:00:20.447
643,2005-01-09 00:00:00.000,Deco,"",0,AftRel,MMPL,sgearhart,"possible cold stress, too decomposed",bwagoner,2005-01-09 00:00:00.000,D,2009-07-09 10:09:34.293
644,2018-09-26 00:00:00.000,HumI,,0,AftRel,FWCNE,,,aperna,2020-03-29 08:34:45.807,D,2020-03-29 08:34:45.807
645,2003-12-22 00:00:00.000,NaCs,"",0,Rehab,SWF,mwalsh,"stomach rupture and assisciated
peritonitis, gastric nematodiasis & intestinal trematodiasis. stomach rupture",jsmith,2003-12-22 00:00:00.000,D,2009-07-09 10:09:34.293
646,2022-07-24 00:00:00.000,TrGa,,0,AftRel,,,,KBouchard,2024-03-19 14:00:27.923,D,2024-03-19 14:00:27.923
648,2004-01-05 00:00:00.000,NaCs,"",0,Rehab,SWF,sgearhart,Possible Sequella of cold stress. Histopath pending Cold Stress,rrunnells,2004-01-07 00:00:00.000,D,2009-07-09 10:09:34.293
649,2004-05-26 00:00:00.000,NaOt,Dystocia,0,Rehab,SWF,sgearhart,Manatee died while trying to extract dead fetus. Dystocia,pramos,2004-06-20 00:00:00.000,D,2009-07-09 10:09:34.293
650,2016-01-25 00:00:00.000,BoPr,,0,AftRel,FWCNE,,Animal was recovered near shipping terminal.,ngordon,2016-03-09 15:05:45.670,D,2016-03-09 15:05:45.670
651,2005-09-15 00:00:00.000,BoBo,,0,Trans,SWF,mwalsh,Manatee died during transport carcass brought to Sea World send to path lab on the 16th. ,rrunnells,2005-09-20 00:00:00.000,D,2009-07-09 10:09:34.293
652,2006-12-22 00:00:00.000,NaCs,"",0,Resc,FWCNE,unk, Cold Stress,dszemer,2006-12-22 00:00:00.000,D,2009-07-09 10:09:34.293
656,2001-01-18 00:00:00.000,NaCs,"",0,Rehab,LPZ,dmurphy, Cold Stress,jhackshaw,2001-01-26 00:00:00.000,D,2009-07-09 10:09:34.293
657,2001-02-18 00:00:00.000,BoIm,,0,Rehab,LPZ,dmurphy,"Watercraft related, secondary infection from impact",jhackshaw,2001-02-19 00:00:00.000,D,2009-07-09 10:09:34.293
660,2002-03-29 00:00:00.000,NaOt,Pneumonia (beached),0,Rehab,LPZ,dmurphy, Pneumonia (beached),dmurphy,2002-05-15 00:00:00.000,D,2009-07-09 10:09:34.293
661,2002-04-14 00:00:00.000,NaDe,"",0,Rehab,LPZ,dmurphy,"Dead on arrival, umbillical abscess, heart disease",dmurphy,2002-05-15 00:00:00.000,D,2009-07-09 10:09:34.293
665,2002-11-22 00:00:00.000,EnHo,INGESTED FISH HOOK & MONO,0,Rehab,MMPL,,,nadimey,2002-11-22 00:00:00.000,nadimey,2011-09-27 10:55:10.623
668,2009-10-05 00:00:00.000,BoIm,,0,AftRel,MMPL,,,dszemer,2009-10-13 09:02:09.160,D,2009-10-13 09:02:09.160
670,2003-07-01 00:00:00.000,BoIm,,0,Rehab,LPZ,dmurphy,aborted fetus,vedmonds,2003-09-25 00:00:00.000,D,2009-07-09 10:09:34.293
673,2012-02-23 00:00:00.000,NaRe,,0,AftRel,MMPL,,,dszemer,2013-05-31 08:12:48.047,dszemer,2013-09-10 08:11:32.287
675,2018-05-31 00:00:00.000,BoIm,,0,AftRel,MMPL,,,dszemer,2018-06-11 12:40:26.630,D,2018-06-11 12:40:26.630
677,2004-07-07 00:00:00.000,BoPr,,0,Rehab,LPZ,dmurphy,,vedmonds,2004-07-14 00:00:00.000,D,2009-07-09 10:09:34.293
680,2005-09-16 00:00:00.000,BoIm,,0,Rehab,LPZ,dmurphy,"After initial treatment, manatee was able to submerge and began to eat.  Within a couple of days, manatee became bouyant again.",vedmonds,2005-09-21 00:00:00.000,D,2009-07-09 10:09:34.293
683,2005-12-10 00:00:00.000,NaCs,"",0,Trans,MMPL,unk,serous atrophied fats; cold stress (cobblestone) skin; systemic lymph node activation; caseous mucus in airways; enteritis; brevetoxin in stomach,dszemer,2005-12-10 00:00:00.000,D,2009-07-09 10:09:34.293
684,2005-12-22 00:00:00.000,BoPr,,0,Rehab,LPZ,dmurphy,Manatee died approximately 1 hour after arriving at facility and being placed in medical pool emaciation,vedmonds,2005-12-29 00:00:00.000,D,2009-07-09 10:09:34.293
690,2001-01-06 00:00:00.000,BoPr,,0,Resc,FWCT,mrodriguez,"Propellar Impact, series of two deep prop wounds, animal floating high in water when found, animal died shortly after getting it onto the beach in a strecher",pcook,2001-01-06 00:00:00.000,D,2009-07-09 10:09:34.293
691,2005-10-06 00:00:00.000,TrGa,,0,AftRel,MSQ,mrodriguez,,rrose,2005-10-06 00:00:00.000,D,2009-07-09 10:09:34.293
694,2001-03-10 00:00:00.000,BoPr,,0,Rehab,MSQ,mrodriguez,"Watercraft related, propellar",rrose,2001-03-12 00:00:00.000,D,2009-07-09 10:09:34.293
695,2001-03-13 00:00:00.000,BoIm,,0,Rehab,MSQ,mrodriguez,"Watercraft related, blunt trauma",rrose,2001-03-12 00:00:00.000,D,2009-07-09 10:09:34.293
696,2001-03-27 00:00:00.000,BoPr,,0,Resc,FWCT,mrodriguez,"Watercraft related, propellar",wvelez,2001-03-26 00:00:00.000,D,2009-07-09 10:09:34.293
698,2001-07-24 00:00:00.000,NaDe, ,0,Rehab,SWF,sgearhart,"Orphan, pneumotosis intestinalis, entercolitis intercolitus",bwagoner,2001-07-25 00:00:00.000,D,2009-07-09 10:09:34.293
701,2002-02-04 00:00:00.000,BoPr,,0,Rehab,MSQ,mrodriguez,,cplante,2002-04-03 00:00:00.000,D,2009-07-09 10:09:34.293
704,2002-01-26 00:00:00.000,BoPr,,0,Rehab,MSQ,mrodriguez,"FWC rescued and transported manatee to MSQ.  Animal was released into pool and passed away overnight.
",cplante,2002-04-03 00:00:00.000,D,2009-07-09 10:09:34.293
705,2002-05-22 00:00:00.000,BoBo,,0,Rehab,MSQ,mrodriguez,,cplante,2002-05-22 00:00:00.000,D,2009-07-09 10:09:34.293
714,2005-02-19 00:00:00.000,NaOt,arota aneruism,0,Rehab,LPZ,dmurphy, arota aneruism,jhackshaw,2005-02-19 00:00:00.000,D,2009-07-09 10:09:34.293
717,2004-03-03 00:00:00.000,NaOt,,0,Resc,FWCT,unk," Pyothorax, emaciated, no indications of trauma",chudak,2004-03-03 00:00:00.000,dszemer,2017-03-16 07:33:33.947
719,2004-07-07 00:00:00.000,BoPr,,0,Resc,FWCT,unk,Died on site,chudak,2004-07-04 00:00:00.000,D,2009-07-09 10:09:34.293
724,2005-01-08 00:00:00.000,BoBo,,0,Trans,FWCT,unk,"08 January 2005: 1237 hrs, FWC-CAH received a page from FWC LE Palm Beach Dispatch regarding an injured manatee that had beached itself at the Ocean Inlet Park in Ocean Ridge, Palm Beach County.  Two FWC officers were in route to the scene.  CAH and ",astoddard,2005-01-12 00:00:00.000,D,2009-07-09 10:09:34.293
725,2005-03-03 00:00:00.000,BoIm,,0,Resc,MMPL,unk,,dszemer,2005-03-03 00:00:00.000,D,2009-07-09 10:09:34.293
727,2005-03-14 00:00:00.000,NaCs,"",0,Rehab,SWF,mwalsh,,rrunnells,2005-03-14 00:00:00.000,D,2009-07-09 10:09:34.293
728,2005-07-03 00:00:00.000,NaOt,Toxoplasmosis,0,Rehab,MSQ,mrodriguez, Toxoplasmosis,sgaudio,2005-07-18 00:00:00.000,D,2009-07-09 10:09:34.293
741,2000-04-24 00:00:00.000,BoPr,,0,Resc,FWCSW,unk,,unk,2000-04-24 00:00:00.000,D,2009-07-09 10:09:34.293
742,2000-05-07 00:00:00.000,BoIm,,0,Resc,FWCSW,unk,al died at ramp,unk,2000-05-07 00:00:00.000,D,2009-07-09 10:09:34.293
743,2013-03-07 00:00:00.000,Unde,"Verified, not recovered",0,AftRel,MMPL,,,dszemer,2018-11-08 12:47:16.437,D,2018-11-08 12:47:16.437
744,2001-02-12 00:00:00.000,BoPr,,0,Rehab,MSQ,mrodriguez,"Watercraft related, propellar.",rrose,2001-02-13 00:00:00.000,D,2009-07-09 10:09:34.293
745,2013-06-10 00:00:00.000,BoIm,,0,AftRel,MMPL,,,dszemer,2014-01-24 11:14:12.147,D,2014-01-24 11:14:12.147
746,2001-02-17 00:00:00.000,NaCs,"",0,Rehab,LPZ,dmurphy,"Animal was tagged on 2/8/01 by Sirenia projectat Port of the Islands; pior to her death she was spotted 1.5 miles offshore of Naples Beach, north of Marco, and then found along the shore of North Naples.   Cold Stress",jhackshaw,2001-02-19 00:00:00.000,D,2009-07-09 10:09:34.293
747,2001-02-25 00:00:00.000,BoPr,,0,Rehab,LPZ,dmurphy,"Watercraft related, propellar",jhackshaw,2001-02-26 00:00:00.000,D,2009-07-09 10:09:34.293
748,2001-03-12 00:00:00.000,NaCs,"",0,Resc,FWCSW,unk,Animal was thin and lethargic; died during rescue before it could be transported. Cold stress,mbarlas,2001-03-12 00:00:00.000,D,2009-07-09 10:09:34.293
749,2001-06-04 00:00:00.000,BoBo,,0,Rehab,LPZ,dmurphy,"watercraft related, blunt trauma and propellar",jhackshaw,2001-06-18 00:00:00.000,D,2009-07-09 10:09:34.293
750,2001-06-01 00:00:00.000,BoIm,,0,Rehab,LPZ,dmurphy,"watercraft related, blunt trauma",jhackshaw,2001-06-18 00:00:00.000,D,2009-07-09 10:09:34.293
755,2012-03-13 00:00:00.000,NaCs,,0,AftRel,MMPL,,,dszemer,2013-02-19 12:17:02.693,D,2013-02-19 12:17:02.693
756,2001-10-15 00:00:00.000,BoIm,,0,Rehab,LPZ,dmurphy,Dead  upon arrival,dmurphy,2001-10-14 00:00:00.000,D,2009-07-09 10:09:34.293
758,2003-02-07 00:00:00.000,NaCs,"",0,AftRel,FWCSW,dmurphy, Cold Stress,vedmonds,2003-09-25 00:00:00.000,D,2009-07-09 10:09:34.293
760,2002-04-15 00:00:00.000,NaCs,"",0,Rehab,FWCSW,dmurphy, Cold stress,dmurphy,2002-01-30 00:00:00.000,D,2009-07-09 10:09:34.293
763,2002-12-17 00:00:00.000,NaOt,emaciated,0,AftRel,LPZ,dmurphy,"naturally depleted fat stores, enteritis emaciated",nadimey,2003-01-31 00:00:00.000,D,2009-07-09 10:09:34.293
764,2016-11-07 00:00:00.000,Unde,,0,AftRel,MMPL,,,dszemer,2018-11-08 13:41:06.783,D,2018-11-08 13:41:06.783
765,2002-11-10 00:00:00.000,NaOt,gas-intestinal,0,Trans,FWCSW,brommel, gas-intestinal,nadimey,2002-01-30 00:00:00.000,D,2009-07-09 10:09:34.293
766,2002-11-24 00:00:00.000,EnCF,,0,Trans,FWCSW,,,nadimey,2002-01-30 00:00:00.000,nadimey,2011-09-27 10:58:14.807
767,2005-03-06 00:00:00.000,NaRe,"",0,AftRel,MMPL,dmurphy,Sarasota Co. animal recovered red tide,vedmonds,2003-03-06 00:00:00.000,D,2009-07-09 10:09:34.293
775,2003-04-18 00:00:00.000,NaRe,"",0,Trans,LPZ,dmurphy, Red Tide,nadimey,2003-04-18 00:00:00.000,D,2009-07-09 10:09:34.293
777,2003-05-07 00:00:00.000,BoPr,,0,Trans,FWCSW,brommel,,nadimey,2003-05-07 00:00:00.000,D,2009-07-09 10:09:34.293
778,2003-05-31 00:00:00.000,NaOt,obstructed bowel; lesion in colon; nasopharynx obs,0,Rehab,LPZ,dmurphy,obstructed bowel GI Obstruction,vedmonds,2003-09-18 00:00:00.000,D,2009-07-09 10:09:34.293
779,2003-07-11 00:00:00.000,NaDe,"",0,Rehab,LPZ,dmurphy,natural other,vedmonds,2003-09-25 00:00:00.000,D,2009-07-09 10:09:34.293
781,2006-06-29 00:00:00.000,NaRe,"",0,AftRel,FWCSW,unk, Red tide,dszemer,2006-06-29 00:00:00.000,D,2009-07-09 10:09:34.293
782,2008-01-29 00:00:00.000,HumI,,0,AftRel,MMPL,unk,"rope nest, monofilament, fishing lure in small intestine; peritonitis.",dszemer,2008-02-21 00:00:00.000,D,2009-07-09 10:09:34.293
784,2003-07-08 00:00:00.000,BoIm,,0,Rehab,MSQ,mrodriguez,,nadimey,2003-07-07 00:00:00.000,D,2009-07-09 10:09:34.293
787,2003-10-07 00:00:00.000,NaDe,"",0,Rehab,LPZ,dmurphy,,nadimey,2003-10-07 00:00:00.000,D,2009-07-09 10:09:34.293
788,2005-10-26 00:00:00.000,NaRe,"",0,AftRel,MMPL,unk,,dszemer,2005-10-26 00:00:00.000,D,2009-07-09 10:09:34.293
789,2003-12-24 00:00:00.000,NaCs,"",0,Rehab,LPZ,dmurphy,died upon arrival Cold stress,vedmonds,2004-02-17 00:00:00.000,D,2009-07-09 10:09:34.293
790,2004-01-26 00:00:00.000,NaCs,"",0,Rehab,LPZ,dmurphy, Cold stress,vedmonds,2004-04-17 00:00:00.000,D,2009-07-09 10:09:34.293
793,2004-03-14 00:00:00.000,BoIm,,0,Resc,FWCSW,brommel,,dgrant,2004-03-14 00:00:00.000,D,2009-07-09 10:09:34.293
794,2009-07-27 00:00:00.000,NaOt,,0,AftRel,,,,dszemer,2009-09-01 11:56:39.173,D,2009-09-01 11:56:39.173
795,2004-07-17 00:00:00.000,NaOt,"bowel obstruction, emaciated",0,Rehab,LPZ,dmurphy,"G.B. had a bowel obstruction from what appeared to be fishing line. bowel obstruction,",vedmonds,2004-08-08 00:00:00.000,D,2009-07-09 10:09:34.293
805,2004-11-08 00:00:00.000,BoIm,,0,Resc,FWCSW,unk,Died during rescue effort,dgrant,2004-11-08 00:00:00.000,D,2009-07-09 10:09:34.293
806,2004-11-28 00:00:00.000,BoBo,,0,Rehab,LPZ,dmurphy,,vedmonds,2004-11-19 00:00:00.000,D,2009-07-09 10:09:34.293
808,2004-12-21 00:00:00.000,NaCs,"",0,Resc,FWCSW,unk, Cold Stress,dgrant,2004-12-21 00:00:00.000,D,2009-07-09 10:09:34.293
809,2004-12-31 00:00:00.000,NaOt,fluid in abdominal cavity; pleuritis; nephritis; l,0,Rehab,SWF,mwalsh,"Animal originally came in with calf, floating high and listing. Animal died late on 12/31/04 and was then picked up by FWC Northeast Field Station and taken to MMPL for necropsy. Death to be determined from MMPL's necropsy report. Host of medical iss",bwagoner,2005-01-06 00:00:00.000,D,2009-07-09 10:09:34.293
811,2005-06-28 00:00:00.000,NaCs,"",0,Rehab,LPZ,dmurphy,Union was observed to be buoyant on 26 June 2005.  Observed struggling in water on 28 June. Necropsy performed by Dr. Murphy at Lowry Park Zoo,vedmonds,2005-07-19 00:00:00.000,D,2009-07-09 10:09:34.293
813,2005-03-30 00:00:00.000,NaCs,"",0,Rehab,LPZ,dmurphy, cold stress,lrottman,2005-03-30 00:00:00.000,D,2009-07-09 10:09:34.293
815,2005-08-10 00:00:00.000,BoUn,,0,Rehab,LPZ,dmurphy,Calf in critical condition upon arrival at facility,vedmonds,2005-08-23 00:00:00.000,D,2009-07-09 10:09:34.293
821,2006-01-05 00:00:00.000,BoPr,,0,Trans,FWCSW,unk,,dszemer,2006-01-05 00:00:00.000,D,2009-07-09 10:09:34.293
822,2006-02-03 00:00:00.000,NaOt,acute erosive gastritis,0,Rehab,MSQ,mrodriguez,"Small calf had Gastritis possibly due to stress
She had been without food for a few weeks in a land-locked area Gastritis",sgaudio,2006-02-09 00:00:00.000,D,2009-07-09 10:09:34.293
823,2006-02-19 00:00:00.000,NaCs,"",0,Resc,FWCSW,unk, Cold Stress,dszemer,2006-02-19 00:00:00.000,D,2009-07-09 10:09:34.293
824,2006-03-17 00:00:00.000,BoPr,,0,Resc,FWCSW,unk,,dszemer,2006-03-17 00:00:00.000,D,2009-07-09 10:09:34.293
826,2006-06-28 00:00:00.000,BoPr,,0,Resc,FWCSW,unk,,dszemer,2006-06-28 00:00:00.000,D,2009-07-09 10:09:34.293
827,2006-08-28 00:00:00.000,NaRe,"",0,Trans,MMPL,unk,"severe enteritis; peritonitis; congested mesenteries, dura matter; ascites; caustic red tide-like stomach odor red tide",dszemer,2006-09-18 00:00:00.000,D,2009-07-09 10:09:34.293
829,2003-11-29 00:00:00.000,Deco,"",0,AftRel,LPZ,dmurphy,"Collier Co., Marco Island, Factory Bay:  too decomposed",nadimey,2003-11-29 00:00:00.000,D,2009-07-09 10:09:34.293
830,2006-05-04 00:00:00.000,BoIm,,1,Rehab,SWF,sgearhart,"Animal euthanized by Dr. Gearhat at SWF, 
transported to FMRI MMPL for necropsy.",bwagoner,2006-05-09 00:00:00.000,D,2009-07-09 10:09:34.293
834,2018-03-03 00:00:00.000,Unde,too decomposed.,0,AftRel,MMPL,,,dszemer,2018-04-12 08:08:11.750,D,2018-04-12 08:08:11.750
838,2007-03-24 00:00:00.000,NaRe,,0,AftRel,MMPL,unk, Red Tide,dszemer,2007-03-24 00:00:00.000,D,2009-07-09 10:09:34.293
